algorithm,allocator_call_count,build_id,campaign_mode,condition_id,device_id,events_processed,failure_reason,frequency_hz,journaled_at,mission,record_type,run_generation,scenario_file,schema,top_k_cells,top_k_level,top_k_rate,trial_id,trial_status,wall_seconds,watchdog_diagnostics,campaign_id,campaign_manifest_schema,campaign_manifest_sha256,implementation_id,campaign_build_id,build_manifest_sha256,allocator_source_bundle_sha256,deployed_module_set_sha256,host_source_sha256,simulator_source_sha256,scenario_sha256,analysis_valid,invalidation_reason,historical_system_csv,historical_system_sha256,failure_source
DMCHBA,326,micropython_1_24_o0_2539f0c4fe4d,pololu_authoritative_hil,collaborative_dmchba_topk_005_k3,e4621cb30b0b342f,571,deadlock_repeated_state,125000000,1785722385.0232234,collaborative,trial_failed,1,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\Results\Simulation\Sensitivity\_cv100\shards\c30\t031\scenario.csv,1,3,5%,0.05,31,failed,927.4006762504578,"{'clock_s': 94.43086994106406, 'event_reasons': {'intent_sync': 160, 'moved': 103, 'no_goal': 205, 'target_visited': 50, 'turn': 53}, 'events_processed': 571, 'events_since_mission_progress': 77, 'events_since_movement': 8, 'policy': {'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 8, 'repeated_state_window': 128}, 'reason': 'deadlock_repeated_state', 'robots': {'00': {'goal': [17, 18], 'heading': [0, 1], 'last_event': 'moved', 'position': [17, 10]}, '01': {'goal': None, 'heading': [0, 1], 'last_event': 'no_goal', 'position': [16, 11]}, '02': {'goal': None, 'heading': [1, 0], 'last_event': 'no_goal', 'position': [12, 12]}, '03': {'goal': None, 'heading': [0, 1], 'last_event': 'no_goal', 'position': [3, 18]}}}",pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,aac1da8ac3698975c63746c31cd4e765c41a21c9ba0d2e709eae101cf3db6981,True,,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\raw\collaborative_known_target_visit\topk_sensitivity\multitarget_g19_r4_t50\dmchba\topk_005\system_performance.csv,21cf62db129690362bdc2ba225e646225b997a399dff2184c40a5091bb4840be,
HIPC,293,micropython_1_24_o0_2539f0c4fe4d,pololu_authoritative_hil,collaborative_hipc_topk_005_k3,e4621cb30b0b342f,497,deadlock_repeated_state,125000000,1785737578.7039402,collaborative,trial_failed,1,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\Results\Simulation\Sensitivity\_cv100\shards\c30\t014\scenario.csv,1,3,5%,0.05,14,failed,1037.464679479599,"{'clock_s': 81.2975930166928, 'event_reasons': {'intent_sync': 136, 'moved': 79, 'no_goal': 181, 'target_visited': 50, 'turn': 51}, 'events_processed': 497, 'events_since_mission_progress': 74, 'events_since_movement': 11, 'policy': {'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 12, 'repeated_state_window': 128}, 'reason': 'deadlock_repeated_state', 'robots': {'00': {'goal': None, 'heading': [1, 0], 'last_event': 'no_goal', 'position': [18, 5]}, '01': {'goal': None, 'heading': [-1, 0], 'last_event': 'no_goal', 'position': [17, 10]}, '02': {'goal': [1, 3], 'heading': [-1, 0], 'last_event': 'moved', 'position': [7, 3]}, '03': {'goal': None, 'heading': [0, -1], 'last_event': 'no_goal', 'position': [18, 17]}}}",pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,bd9da7958092af4a986e1f066efb839700f43994d6a2e1a28b0f5dafab1f79e3,True,,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\raw\collaborative_known_target_visit\topk_sensitivity\multitarget_g19_r4_t50\hipc\topk_005\system_performance.csv,b6d9d18fc6cdbcf84097d5a6f8b21920369ed62ea4463ef47f7cd349bb181a93,
PI,208,micropython_1_24_o0_2539f0c4fe4d,pololu_authoritative_hil,collaborative_pi_topk_fixed_k2,e4621cb30b0b342f,486,deadlock_repeated_state,125000000,1785800026.9355297,collaborative,trial_failed,2,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\Results\Simulation\Sensitivity\_cv100\shards\c30\t041\scenario.csv,1,2,K=2,0.04,41,failed,772.1418027877808,"{'clock_s': 84.91986055001519, 'event_reasons': {'intent_sync': 169, 'moved': 110, 'no_goal': 95, 'target_visited': 51, 'turn': 61}, 'events_processed': 486, 'events_since_mission_progress': 75, 'events_since_movement': 9, 'policy': {'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 12, 'repeated_state_window': 128}, 'reason': 'deadlock_repeated_state', 'robots': {'00': {'goal': [6, 2], 'heading': [0, -1], 'last_event': 'moved', 'position': [6, 5]}, '01': {'goal': None, 'heading': [1, 0], 'last_event': 'no_goal', 'position': [18, 8]}, '02': {'goal': None, 'heading': [0, 1], 'last_event': 'no_goal', 'position': [15, 8]}, '03': {'goal': None, 'heading': [0, -1], 'last_event': 'no_goal', 'position': [18, 11]}}}",pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,9c551e618a50a1a7612ddd4f682aecd4e07c70b6227e6d0fd07e9d010848789d,True,,,,
HIPC,308,micropython_1_24_o0_2539f0c4fe4d,pololu_authoritative_hil,collaborative_hipc_topk_fixed_k1,e4621cb30b16392f,507,deadlock_repeated_state,125000000,1785835206.795918,collaborative,trial_failed,1,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\Results\Simulation\Sensitivity\_cv100\shards\c30\t010\scenario.csv,1,1,K=1,0.02,10,failed,1002.0255935192108,"{'clock_s': 82.32919133045067, 'event_reasons': {'intent_sync': 127, 'moved': 77, 'no_goal': 216, 'target_visited': 46, 'turn': 41}, 'events_processed': 507, 'events_since_mission_progress': 79, 'events_since_movement': 12, 'policy': {'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 8, 'repeated_state_window': 128}, 'reason': 'deadlock_repeated_state', 'robots': {'00': {'goal': None, 'heading': [0, 1], 'last_event': 'no_goal', 'position': [17, 9]}, '01': {'goal': [12, 15], 'heading': [0, 1], 'last_event': 'intent_sync', 'position': [15, 14]}, '02': {'goal': None, 'heading': [0, -1], 'last_event': 'no_goal', 'position': [5, 6]}, '03': {'goal': None, 'heading': [1, 0], 'last_event': 'no_goal', 'position': [2, 7]}}}",pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,f03a548b5a32778d1c96412f236b98b8d1a473d9a22f1bd0f7428847d8456b29,True,,,,
HIPC,245,micropython_1_24_o0_2539f0c4fe4d,pololu_authoritative_hil,collaborative_hipc_topk_025_k13,e4621cb30b2b352f,531,deadlock_repeated_state,125000000,1785672246.878788,collaborative,trial_failed,3,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\_cv100\shards\c30\t049\scenario.csv,1,13,25%,0.25,49,failed,1066.3373663425446,"{'clock_s': 91.74151737769357, 'event_reasons': {'intent_sync': 186, 'moved': 118, 'no_goal': 109, 'target_visited': 54, 'turn': 64}, 'events_processed': 531, 'events_since_mission_progress': 72, 'events_since_movement': 72, 'policy': {'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 8, 'repeated_state_window': 128}, 'reason': 'deadlock_repeated_state', 'robots': {'00': {'goal': None, 'heading': [-1, 0], 'last_event': 'no_goal', 'position': [13, 14]}, '01': {'goal': None, 'heading': [0, 1], 'last_event': 'no_goal', 'position': [6, 15]}, '02': {'goal': None, 'heading': [1, 0], 'last_event': 'no_goal', 'position': [12, 15]}, '03': {'goal': None, 'heading': [0, 1], 'last_event': 'no_goal', 'position': [13, 18]}}}",pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,8201ef025fa4155458c166cfea61830d30005a55b9db8f4b478482442e2e2730,True,,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\raw\collaborative_known_target_visit\topk_sensitivity\multitarget_g19_r4_t50\hipc\topk_025\system_performance.csv,c302eb41ac35b37fea413c95358c3d202b52debc398a75e809ad9cddfcfda5ca,
DMCHBA,427,micropython_1_24_o0_2539f0c4fe4d,pololu_authoritative_hil,collaborative_dmchba_topk_010_k5,e4621cb30b2b352f,756,deadlock_repeated_state,125000000,1785682214.8692636,collaborative,trial_failed,1,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\_cv100\shards\c30\t074\scenario.csv,1,5,10%,0.1,74,failed,1154.4739408493042,"{'clock_s': 123.57833540004388, 'event_reasons': {'intent_sync': 192, 'moved': 132, 'no_goal': 316, 'target_visited': 56, 'turn': 60}, 'events_processed': 756, 'events_since_mission_progress': 73, 'events_since_movement': 6, 'policy': {'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 8, 'repeated_state_window': 128}, 'reason': 'deadlock_repeated_state', 'robots': {'00': {'goal': [9, 17], 'heading': [-1, 0], 'last_event': 'moved', 'position': [16, 17]}, '01': {'goal': None, 'heading': [1, 0], 'last_event': 'no_goal', 'position': [17, 10]}, '02': {'goal': None, 'heading': [1, 0], 'last_event': 'no_goal', 'position': [9, 5]}, '03': {'goal': None, 'heading': [1, 0], 'last_event': 'no_goal', 'position': [0, 18]}}}",pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,7684d516952e0656d0881c747cd9632348836a2864f8ea1052c9071dd05e09eb,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,ec22e9364753a0d5d0801fcda6681caf53fea1e55820ca6a151aada4c19cf4ee,06b038d971594a62ed6d5dbecb8e5f5f35a74a7d1afa91eb9fb64ed3f586c081,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,c991bf432abd39814bc06fe2a7ab7347065a82a9c805f04a0902580e1cc89ed5,True,,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\raw\collaborative_known_target_visit\topk_sensitivity\multitarget_g19_r4_t50\dmchba\topk_010\system_performance.csv,90d496d3b0559383b4c69820eb26d58d8eaa9259826e1dce66a89405ceb67ff5,
DMCHBA,362,micropython_1_24_o0_2539f0c4fe4d,pololu_authoritative_hil,collaborative_dmchba_topk_005_k3,e4621cb30b2b352f,634,deadlock_repeated_state,125000000,1785721833.020006,collaborative,trial_failed,1,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\Results\Simulation\Sensitivity\_cv100\shards\c30\t014\scenario.csv,1,3,5%,0.05,14,failed,951.3818225860596,"{'clock_s': 104.43044250918317, 'event_reasons': {'intent_sync': 170, 'moved': 113, 'no_goal': 252, 'target_visited': 49, 'turn': 50}, 'events_processed': 634, 'events_since_mission_progress': 81, 'events_since_movement': 10, 'policy': {'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 8, 'repeated_state_window': 128}, 'reason': 'deadlock_repeated_state', 'robots': {'00': {'goal': [18, 5], 'heading': [1, 0], 'last_event': 'intent_sync', 'position': [7, 7]}, '01': {'goal': None, 'heading': [0, -1], 'last_event': 'no_goal', 'position': [18, 10]}, '02': {'goal': None, 'heading': [0, 1], 'last_event': 'no_goal', 'position': [2, 10]}, '03': {'goal': None, 'heading': [1, 0], 'last_event': 'no_goal', 'position': [0, 18]}}}",pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,bd9da7958092af4a986e1f066efb839700f43994d6a2e1a28b0f5dafab1f79e3,True,,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\raw\collaborative_known_target_visit\topk_sensitivity\multitarget_g19_r4_t50\dmchba\topk_005\system_performance.csv,21cf62db129690362bdc2ba225e646225b997a399dff2184c40a5091bb4840be,
DMCHBA,421,micropython_1_24_o0_2539f0c4fe4d,pololu_authoritative_hil,collaborative_dmchba_topk_005_k3,e4621cb30b2b352f,734,deadlock_repeated_state,125000000,1785722944.5943143,collaborative,trial_failed,1,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\Results\Simulation\Sensitivity\_cv100\shards\c30\t041\scenario.csv,1,3,5%,0.05,41,failed,1111.2401809692383,"{'clock_s': 120.17264984616244, 'event_reasons': {'intent_sync': 189, 'moved': 131, 'no_goal': 308, 'target_visited': 52, 'turn': 54}, 'events_processed': 734, 'events_since_mission_progress': 83, 'events_since_movement': 8, 'policy': {'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 8, 'repeated_state_window': 128}, 'reason': 'deadlock_repeated_state', 'robots': {'00': {'goal': [1, 9], 'heading': [0, 1], 'last_event': 'moved', 'position': [10, 5]}, '01': {'goal': None, 'heading': [0, -1], 'last_event': 'no_goal', 'position': [10, 9]}, '02': {'goal': None, 'heading': [-1, 0], 'last_event': 'no_goal', 'position': [1, 2]}, '03': {'goal': None, 'heading': [1, 0], 'last_event': 'no_goal', 'position': [0, 18]}}}",pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,9c551e618a50a1a7612ddd4f682aecd4e07c70b6227e6d0fd07e9d010848789d,True,,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\raw\collaborative_known_target_visit\topk_sensitivity\multitarget_g19_r4_t50\dmchba\topk_005\system_performance.csv,21cf62db129690362bdc2ba225e646225b997a399dff2184c40a5091bb4840be,
DMCHBA,377,micropython_1_24_o0_2539f0c4fe4d,pololu_authoritative_hil,collaborative_dmchba_topk_005_k3,e4621cb30b43372f,658,deadlock_repeated_state,125000000,1785722130.6306486,collaborative,trial_failed,1,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\Results\Simulation\Sensitivity\_cv100\shards\c30\t030\scenario.csv,1,3,5%,0.05,30,failed,1002.8501760959625,"{'clock_s': 107.38859875177425, 'event_reasons': {'intent_sync': 174, 'moved': 114, 'no_goal': 266, 'target_visited': 51, 'turn': 53}, 'events_processed': 658, 'events_since_mission_progress': 78, 'events_since_movement': 11, 'policy': {'event_cap': 8000, 'no_movement_events': 128, 'no_progress_events': 1024, 'repeated_state_count': 8, 'repeated_state_window': 128}, 'reason': 'deadlock_repeated_state', 'robots': {'00': {'goal': [2, 1], 'heading': [-1, 0], 'last_event': 'intent_sync', 'position': [8, 2]}, '01': {'goal': None, 'heading': [1, 0], 'last_event': 'no_goal', 'position': [15, 11]}, '02': {'goal': None, 'heading': [0, -1], 'last_event': 'no_goal', 'position': [18, 7]}, '03': {'goal': None, 'heading': [1, 0], 'last_event': 'no_goal', 'position': [0, 18]}}}",pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,ce8cfb5b2d6e50363f4c0db5832df9336ce1a83e4864d76079e89c1d3f345e66,True,,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\raw\collaborative_known_target_visit\topk_sensitivity\multitarget_g19_r4_t50\dmchba\topk_005\system_performance.csv,21cf62db129690362bdc2ba225e646225b997a399dff2184c40a5091bb4840be,
HIPC,,,,collaborative_hipc_topk_050_k25,,,simulator_or_host_failure,,,collaborative,trial_failed,,,1,25,50%,0.5,32,failed,,,pololu_native_persistent_v8,2,5707d91201b5ebdb81d3797ff2e476a37979b5b5468bf83771f97cc454e8a559,pololu_native_persistent_hil_v2,micropython_1_24_o0_2539f0c4fe4d,2d75ea6a4cbf57ea37401447dbdc478eb4275b877f2fe96b6bfba168ae120500,2539f0c4fe4db9ca6287187ad6ff1c96f70dd9a348a9db27b27887dd76a1b268,e97e688ba8d7f2f7717cc390e2e147639f2a2e7fdb50ad5287e8a97ceb17fda3,0f383620c19a7f3660df26338ed69497f2f4e5aede464a27143f5384dab5aca7,42be2063cd8d47f54e7bc35df5c1f2b5dad17700764e8d86f1d3c2c502349497,8a5898efaa3825a3433c0a37615b40acb953a85c97f96d4426e660cc2f9265cd,True,,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\raw\collaborative_known_target_visit\topk_sensitivity\multitarget_g19_r4_t50\hipc\topk_050\system_performance.csv,991083e61a7be3334b83a01e41a1a7a303959b38b1c62653852515f54556ff37,schedule_legacy
