trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
8,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.05,18,,,acbba_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,160,34,126,149,15,9,9,7,1254,3759,0,170,1084,342,912,1186,912,0.0,8.416107382550335,9.412698412698413,5.7,7.238095238095238,6.120805369127517,acbba_entry:912;clue:12;collision_intent:169;state:160;target:1,41,329,0.05536912751677847,completed
44,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.05,18,,,acbba_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,116,116,0,120,0,0,0,0,233,697,0,117,116,233,0,0,0,0.0,1.9416666666666667,0.0,0.0,0.0,0.0,collision_intent:116;state:116;target:1,29,59,0.0,completed
80,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.05,18,,,acbba_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,350,24,326,291,63,18,7,4,3240,9715,0,359,2881,721,2519,3192,2519,0.0,11.1340206185567,9.791411042944786,7.1971428571428575,7.726993865030675,8.65635738831615,acbba_entry:2519;clue:12;collision_intent:358;state:350;target:1,90,830,0.06958762886597936,completed
116,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.05,18,,,acbba_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,273,187,86,250,27,1,3,3,1233,3694,0,277,956,558,675,859,675,0.0,4.932,9.988372093023257,2.4725274725274726,7.848837209302325,2.7,acbba_entry:675;clue:8;collision_intent:276;state:273;target:1,69,312,0.026000000000000023,completed
152,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.05,18,,,acbba_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,99,99,0,103,0,0,0,0,199,595,0,100,99,199,0,0,0,0.0,1.9320388349514563,0.0,0.0,0.0,0.0,collision_intent:99;state:99;target:1,25,51,0.00728155339805836,completed
188,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.05,18,,,acbba_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,298,7,291,256,46,20,2,2,2703,8108,0,301,2402,611,2092,2688,2092,0.0,10.55859375,9.237113402061855,7.02013422818792,7.189003436426117,8.171875,acbba_entry:2092;clue:12;collision_intent:300;state:298;target:1,75,701,0.0390625,completed
224,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.05,18,,,acbba_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,261,36,225,222,43,12,2,2,2136,6404,0,264,1872,541,1595,2064,1595,0.0,9.621621621621621,9.173333333333334,6.111111111111111,7.088888888888889,7.184684684684685,acbba_entry:1595;clue:16;collision_intent:263;state:261;target:1,66,551,0.060810810810810745,completed
260,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.05,18,,,acbba_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,56,13,43,56,4,4,0,0,416,1245,0,57,359,121,295,389,295,0.0,7.428571428571429,9.046511627906977,5.267857142857143,6.8604651162790695,5.267857142857143,acbba_entry:295;clue:8;collision_intent:56;state:56;target:1,14,111,0.044642857142857206,completed
296,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.05,18,,,acbba_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,202,66,136,184,22,11,4,3,1542,4623,0,207,1335,417,1125,1409,1125,0.0,8.380434782608695,10.360294117647058,5.569306930693069,8.272058823529411,6.114130434782608,acbba_entry:1125;clue:8;collision_intent:206;state:202;target:1,51,391,0.02717391304347827,completed
332,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.05,18,,,acbba_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,54,40,14,58,0,3,0,0,215,644,0,56,159,114,101,135,101,0.0,3.706896551724138,9.642857142857142,1.8703703703703705,7.214285714285714,1.7413793103448276,acbba_entry:101;clue:4;collision_intent:55;state:54;target:1,14,61,0.01724137931034475,completed
