trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
3,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.1,36,,,cbaa_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,264,67,197,231,37,5,2,2,1495,4480,0,269,1226,549,946,1360,946,0.0,6.471861471861472,6.903553299492386,3.5833333333333335,4.802030456852792,4.095238095238095,cbaa_entry:946;clue:16;collision_intent:268;state:264;target:1,67,382,0.024891774891774965,completed
39,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.1,36,,,cbaa_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,144,68,76,138,10,3,2,2,642,1922,0,149,493,297,345,506,345,0.0,4.6521739130434785,6.657894736842105,2.3958333333333335,4.5394736842105265,2.5,cbaa_entry:345;clue:4;collision_intent:148;state:144;target:1,37,168,0.03623188405797095,completed
75,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.1,36,,,cbaa_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,71,43,28,72,3,4,1,1,260,778,0,73,187,148,112,174,112,0.0,3.611111111111111,6.214285714285714,1.5774647887323943,4.0,1.5555555555555556,cbaa_entry:112;clue:4;collision_intent:72;state:71;target:1,18,67,0.02083333333333326,completed
111,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.1,36,,,cbaa_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,98,5,93,94,8,5,1,1,636,1905,0,100,536,206,430,624,430,0.0,6.76595744680851,6.709677419354839,4.387755102040816,4.623655913978495,4.574468085106383,cbaa_entry:430;clue:8;collision_intent:99;state:98;target:1,25,166,0.010638297872340496,completed
147,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.1,36,,,cbaa_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,99,63,36,100,3,3,0,0,362,1083,0,101,261,204,158,236,158,0.0,3.62,6.555555555555555,1.595959595959596,4.388888888888889,1.58,cbaa_entry:158;clue:4;collision_intent:100;state:99;target:1,25,95,0.014999999999999902,completed
183,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.1,36,,,cbaa_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,199,126,73,194,9,4,1,1,728,2179,0,203,525,406,322,476,322,0.0,3.752577319587629,6.52054794520548,1.6180904522613064,4.410958904109589,1.6597938144329898,cbaa_entry:322;clue:4;collision_intent:202;state:199;target:1,50,183,0.020618556701030855,completed
219,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.1,36,,,cbaa_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,242,99,143,205,41,6,4,3,1184,3549,0,247,937,505,679,985,679,0.0,5.775609756097561,6.888111888111888,2.8057851239669422,4.748251748251748,3.3121951219512193,cbaa_entry:679;clue:16;collision_intent:246;state:242;target:1,61,304,0.040243902439024426,completed
255,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.1,36,,,cbaa_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,132,120,12,135,1,2,0,0,314,940,0,133,181,273,41,74,41,0.0,2.325925925925926,6.166666666666667,0.3106060606060606,3.4166666666666665,0.3037037037037037,cbaa_entry:41;clue:8;collision_intent:132;state:132;target:1,33,80,0.005555555555555536,completed
291,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.1,36,,,cbaa_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,168,81,87,159,13,3,2,2,781,2338,0,172,609,348,433,619,433,0.0,4.911949685534591,7.114942528735632,2.5773809523809526,4.977011494252873,2.7232704402515724,cbaa_entry:433;clue:8;collision_intent:171;state:168;target:1,43,197,0.020440251572326984,completed
327,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.1,36,,,cbaa_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,151,49,102,144,11,5,2,1,798,2391,0,155,643,314,484,700,484,0.0,5.541666666666667,6.862745098039215,3.205298013245033,4.745098039215686,3.361111111111111,cbaa_entry:484;clue:8;collision_intent:154;state:151;target:1,38,202,0.03472222222222232,completed
