trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
9,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,1.0,361,,,dga_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,82,0,82,78,8,9,2,2,374,1118,0,85,289,179,195,374,195,0.0,4.794871794871795,4.560975609756097,2.3780487804878048,2.3780487804878048,2.5,clue:12;collision_intent:84;dga_entry:195;state:82;target:1,21,110,0.044871794871794934,completed
45,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,1.0,361,,,dga_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,309,139,170,253,60,4,2,2,949,2842,0,313,636,634,315,671,315,0.0,3.7509881422924902,3.947058823529412,1.0194174757281553,1.8529411764705883,1.2450592885375493,clue:12;collision_intent:312;dga_entry:315;state:309;target:1,78,243,0.02075098814229248,completed
81,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,1.0,361,,,dga_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,185,77,108,182,7,6,0,0,645,1932,0,187,458,384,261,489,261,0.0,3.543956043956044,4.527777777777778,1.4108108108108108,2.4166666666666665,1.434065934065934,clue:12;collision_intent:186;dga_entry:261;state:185;target:1,47,170,0.013736263736263687,completed
117,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,1.0,361,,,dga_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,170,131,39,166,8,1,0,0,473,1417,0,171,302,349,124,211,124,0.0,2.8493975903614457,5.410256410256411,0.7294117647058823,3.1794871794871793,0.7469879518072289,clue:8;collision_intent:170;dga_entry:124;state:170;target:1,43,125,0.006024096385542244,completed
153,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,1.0,361,,,dga_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,240,138,102,218,26,2,3,3,677,2028,0,244,433,488,189,400,189,0.0,3.1055045871559632,3.9215686274509802,0.7875,1.8529411764705883,0.8669724770642202,clue:4;collision_intent:243;dga_entry:189;state:240;target:1,61,181,0.0183486238532109,completed
189,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,1.0,361,,,dga_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,244,141,103,236,12,6,1,1,719,2152,0,246,473,494,225,437,225,0.0,3.0466101694915255,4.242718446601942,0.9221311475409836,2.1844660194174756,0.9533898305084746,clue:4;collision_intent:245;dga_entry:225;state:244;target:1,62,185,0.029661016949152463,completed
225,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,1.0,361,,,dga_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,135,135,0,139,0,0,0,0,272,814,0,137,135,272,0,0,0,0.0,1.9568345323741008,0.0,0.0,0.0,0.0,collision_intent:136;state:135;target:1,35,71,0.012589928057553879,completed
261,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,1.0,361,,,dga_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,71,0,71,70,5,6,0,0,289,863,0,73,216,148,141,289,141,0.0,4.128571428571429,4.070422535211268,1.9859154929577465,1.9859154929577465,2.0142857142857142,clue:4;collision_intent:72;dga_entry:141;state:71;target:1,18,80,0.03571428571428581,completed
297,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,1.0,361,,,dga_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,133,0,133,133,4,16,1,1,553,1656,0,135,418,280,273,553,273,0.0,4.157894736842105,4.157894736842105,2.0526315789473686,2.0526315789473686,2.0526315789473686,clue:12;collision_intent:134;dga_entry:273;state:133;target:1,34,151,0.02819548872180455,completed
333,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,1.0,361,,,dga_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,184,14,170,166,22,3,0,0,691,2068,0,187,504,379,312,663,312,0.0,4.162650602409639,3.9,1.6956521739130435,1.8352941176470587,1.8795180722891567,clue:8;collision_intent:186;dga_entry:312;state:184;target:1,47,180,0.06024096385542177,completed
