trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,trial_mode,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,max_candidate_cells,condition_id,scenario_file,host_trial_runtime_ms,robot_id,allocator_calls,allocator_calls_pre_clue,allocator_calls_post_clue,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_time_pct,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_max,allocator_time_ms_pre_clue_total,allocator_time_ms_post_clue_total,allocator_host_runtime_pct,trial_status
3,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.5,181,181,pi_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,1873.761565,00,30,17,13,335.737137,11.1912379,0.035145499999999996,28.829289,29.395582,17.917815333137117,13,67.67109500000001,5.205468846153847,8.202788,0.551127,335.18601,17.917815333137117,completed
3,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.5,181,181,pi_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,1873.761565,01,29,17,12,316.044437,10.898084034482759,0.035353,29.376642,29.494091,16.86684383453025,12,71.772038,5.9810031666666665,8.418427,0.5804010000000001,315.464036,16.86684383453025,completed
3,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.5,181,181,pi_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,1873.761565,02,31,17,14,366.080642,11.809052967741936,0.036665,29.412218,30.26556,19.537205204654736,14,74.14268899999999,5.295906357142856,8.375812,0.594576,365.486066,19.537205204654736,completed
3,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.5,181,181,pi_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,1873.761565,03,27,15,12,314.992946,11.666405407407408,0.030554,29.529988,29.567836,16.810727249600724,12,64.824432,5.402036,8.601816,0.585968,314.40697800000004,16.810727249600724,completed
39,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.5,181,181,pi_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,579.195761,00,20,17,3,91.35573699999999,4.567786849999999,0.0281705,28.885713,33.842952,15.772860084865158,3,27.785280999999998,9.261760333333333,12.93135,0.505055,90.85068199999999,15.772860084865158,completed
39,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.5,181,181,pi_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,579.195761,01,21,17,4,120.75376800000001,5.750179428571429,0.031482,33.422551,33.893471,20.848524131377406,4,45.528681000000006,11.382170250000001,13.023268,0.559828,120.19394,20.848524131377406,completed
39,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.5,181,181,pi_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,579.195761,02,20,17,3,92.544346,4.6272173,0.031689999999999996,29.047762,34.221761,15.978077229056241,3,29.069263,9.689754333333333,13.329067,0.637159,91.907187,15.978077229056241,completed
39,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.5,181,181,pi_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,579.195761,03,19,15,4,125.988912,6.630995368421052,0.029307,34.509131,34.509131,21.75238848131004,4,41.768816,10.442204,13.598392,0.45022099999999987,125.538691,21.75238848131004,completed
75,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.5,181,181,pi_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,201.625343,00,12,11,1,28.47283,2.372735833333333,0.029515,28.142397,28.142397,14.121652355973922,1,7.351891,7.351891,7.351891,0.33043300000000003,28.142397,14.121652355973922,completed
75,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.5,181,181,pi_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,201.625343,01,12,11,1,28.980127000000003,2.4150105833333337,0.031658,28.608101,28.608101,14.373256143698168,1,7.83292,7.83292,7.83292,0.372026,28.608101,14.373256143698168,completed
75,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.5,181,181,pi_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,201.625343,02,13,11,2,58.51282,4.500986153846154,0.032057,29.118053,29.118053,29.020568113801055,2,16.478232,8.239116,8.328123,0.37804,58.13478,29.020568113801055,completed
75,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.5,181,181,pi_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,201.625343,03,9,8,1,29.484285,3.2760316666666665,0.028986,29.195542,29.195542,14.623303083481922,1,8.251849,8.251849,8.251849,0.28874299999999997,29.195542,14.623303083481922,completed
111,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.5,181,181,pi_topk_50,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,664.795421,00,6,2,4,130.04704099999998,21.67450683333333,31.9636865,33.108211,33.108211,19.561964010579423,4,46.303124999999994,11.575781249999999,12.324265,0.074609,129.972432,19.561964010579423,completed
