trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
0,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DMCHBA,ideal,1.0,19,361,4,0.75,271,90.25,90.25,scale_g19_r4_dmchba_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,147,37,110,146,5,0,0,0,307,920,0,148,159,307,0,233,0,0.0,2.1027397260273974,2.118181818181818,0.0,0.0,0.0,clue:12;collision_intent:147;state:147;target:1,38,79,0.03767123287671237,completed
1,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DMCHBA,ideal,1.0,19,361,4,0.75,271,90.25,90.25,scale_g19_r4_dmchba_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,185,100,85,184,5,0,0,0,383,1146,0,186,197,383,0,183,0,0.0,2.0815217391304346,2.152941176470588,0.0,0.0,0.0,clue:12;collision_intent:185;state:185;target:1,47,97,0.01902173913043481,completed
2,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DMCHBA,ideal,1.0,19,361,4,0.75,271,90.25,90.25,scale_g19_r4_dmchba_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,12,12,0,16,0,0,0,0,25,75,0,13,12,25,0,0,0,0.0,1.5625,0.0,0.0,0.0,0.0,collision_intent:12;state:12;target:1,3,7,0.0,completed
3,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DMCHBA,ideal,1.0,19,361,4,0.75,271,90.25,90.25,scale_g19_r4_dmchba_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,154,75,79,151,7,0,0,0,314,939,0,156,158,314,0,163,0,0.0,2.0794701986754967,2.0632911392405062,0.0,0.0,0.0,clue:4;collision_intent:155;state:154;target:1,40,81,0.038079470198675525,completed
4,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DMCHBA,ideal,1.0,19,361,4,0.75,271,90.25,90.25,scale_g19_r4_dmchba_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,108,39,69,107,5,0,0,0,225,670,0,109,116,225,0,147,0,0.0,2.102803738317757,2.130434782608696,0.0,0.0,0.0,clue:8;collision_intent:108;state:108;target:1,27,57,0.035046728971962704,completed
5,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DMCHBA,ideal,1.0,19,361,4,0.75,271,90.25,90.25,scale_g19_r4_dmchba_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,332,43,289,303,33,0,1,1,682,2043,0,334,348,682,0,595,0,0.0,2.2508250825082508,2.0588235294117645,0.0,0.0,0.0,clue:16;collision_intent:333;state:332;target:1,85,174,0.03052805280528048,completed
6,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DMCHBA,ideal,1.0,19,361,4,0.75,271,90.25,90.25,scale_g19_r4_dmchba_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,245,5,240,225,24,0,2,2,497,1490,0,248,249,497,0,486,0,0.0,2.2088888888888887,2.025,0.0,0.0,0.0,clue:4;collision_intent:247;state:245;target:1,62,126,0.0344444444444445,completed
7,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DMCHBA,ideal,1.0,19,361,4,0.75,271,90.25,90.25,scale_g19_r4_dmchba_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,78,49,29,81,1,0,0,0,161,478,0,79,82,161,0,62,0,0.0,1.9876543209876543,2.1379310344827585,0.0,0.0,0.0,clue:4;collision_intent:78;state:78;target:1,20,42,0.021604938271605034,completed
8,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DMCHBA,ideal,1.0,19,361,4,0.75,271,90.25,90.25,scale_g19_r4_dmchba_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,248,49,199,238,14,0,0,0,505,1511,0,249,256,505,0,406,0,0.0,2.1218487394957983,2.040201005025126,0.0,0.0,0.0,clue:8;collision_intent:248;state:248;target:1,63,128,0.010504201680672232,completed
9,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DMCHBA,ideal,1.0,19,361,4,0.75,271,90.25,90.25,scale_g19_r4_dmchba_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,353,28,325,316,41,0,2,1,726,2175,0,357,369,726,0,670,0,0.0,2.2974683544303796,2.0615384615384613,0.0,0.0,0.0,clue:16;collision_intent:356;state:353;target:1,89,183,0.04746835443037978,completed
10,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DMCHBA,ideal,1.0,19,361,4,0.75,271,90.25,90.25,scale_g19_r4_dmchba_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,159,43,116,160,3,0,0,0,324,969,0,161,163,324,0,237,0,0.0,2.025,2.043103448275862,0.0,0.0,0.0,clue:4;collision_intent:160;state:159;target:1,40,82,0.015625,completed
11,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DMCHBA,ideal,1.0,19,361,4,0.75,271,90.25,90.25,scale_g19_r4_dmchba_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,260,201,59,261,3,0,0,0,529,1583,0,261,268,529,0,127,0,0.0,2.0268199233716473,2.152542372881356,0.0,0.0,0.0,clue:8;collision_intent:260;state:260;target:1,66,134,0.006704980842911823,completed
12,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DMCHBA,ideal,1.0,19,361,4,0.75,271,90.25,90.25,scale_g19_r4_dmchba_topk075,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,198,77,121,186,16,0,0,0,405,1212,0,199,206,405,0,250,0,0.0,2.1774193548387095,2.0661157024793386,0.0,0.0,0.0,clue:8;collision_intent:198;state:198;target:1,50,102,0.024193548387096753,completed
