trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status
0,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,00,35,10,0,36,0,0,0,0,0,0.0,0,0,260,72,188,809,0,64,65.5372,1.02401875,0.8247,2.1257,2.5209,33.3376,0.5209,0.3758,1.109,1.6231,64,32.1996,0.50311875,0.36885,1.003,1.4119,completed
0,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,01,45,16,0,45,1,5,0,0,0,0.0,0,0,280,91,189,790,0,40,50.5776,1.26444,1.29005,1.8167,2.6574,25.1369,0.6284225,0.70895,0.9704,1.0423,40,25.4407,0.6360175,0.585,0.9382,1.6151,completed
0,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,02,37,14,0,38,0,3,0,0,0,0.0,0,0,274,76,198,795,0,59,61.666199999999996,1.0451898305084746,0.8401,1.9149,2.7393,31.3414,0.5312101694915254,0.3738,1.0075,1.5108,59,30.3248,0.5139796610169491,0.3724,0.9563,1.7867,completed
0,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,03,38,10,0,35,4,2,0,0,0,0.0,0,0,256,79,177,813,0,54,63.1284,1.1690444444444443,0.8766499999999999,1.9365,8.564,34.0989,0.6314611111111111,0.37875000000000003,1.2297,7.7594,54,29.0295,0.5375833333333333,0.46525,0.9659,1.0765,completed
1,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,00,49,15,0,49,1,1,0,0,0,0.0,0,0,301,99,202,834,0,36,42.7724,1.188122222222222,1.1717,1.7484,1.9278,20.7301,0.5758361111111111,0.5687,1.0757,1.1749,36,22.0423,0.6122861111111111,0.62815,0.9375,1.0199,completed
1,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,01,39,15,0,40,0,5,0,0,0,0.0,0,0,283,80,203,851,0,67,69.9358,1.0438179104477612,0.8806,1.7932,2.6725,35.8316,0.5348,0.3718,1.2276,1.4904,67,34.1042,0.5090179104477611,0.4042,0.967,1.5131,completed
1,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,02,39,11,0,38,2,3,0,0,0,0.0,0,0,283,82,201,851,0,67,70.2688,1.0487880597014925,0.9201,1.9118,4.6323,36.8853,0.5505268656716418,0.4363,0.9837,3.9783,67,33.3835,0.4982611940298507,0.419,0.8768,1.1898,completed
1,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,03,39,9,0,38,2,1,1,1,0,0.0,0,0,268,82,186,866,0,68,64.6162,0.9502382352941178,0.80955,1.7264,2.1119,30.7419,0.4520867647058824,0.3712,0.8712,1.1476,68,33.8743,0.4981514705882353,0.40515,0.9782,1.2407,completed
2,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,00,33,15,0,34,0,0,0,0,0,0.0,0,0,229,68,161,690,0,60,59.0327,0.9838783333333333,0.71685,1.8509,2.0457,30.0868,0.5014466666666667,0.37285,1.0262,1.1541,60,28.9459,0.4824316666666667,0.33504999999999996,0.8839,1.0945,completed
2,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,01,36,9,0,36,1,0,0,0,0,0.0,0,0,217,74,143,702,0,55,57.4667,1.044849090909091,0.9162,1.876,4.323,25.5052,0.4637309090909091,0.3698,0.9893,1.0872,55,31.9615,0.5811181818181819,0.4265,0.9727,3.9617,completed
2,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,02,42,15,0,43,0,3,1,1,0,0.0,0,0,245,86,159,675,0,34,45.6162,1.3416529411764706,1.1524999999999999,2.2682,3.9845,24.0013,0.7059205882352941,0.63405,1.161,3.2631,34,21.6149,0.6357323529411765,0.6311,0.9706,1.127,completed
2,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,03,37,11,1,37,1,0,0,0,0,0.0,0,0,229,76,153,690,0,57,59.456,1.0430877192982457,0.8772,2.2113,2.8013,28.8582,0.5062842105263158,0.3668,1.3027,1.7275,57,30.5978,0.5368035087719298,0.4418,1.1192,1.2117,completed
3,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,00,41,9,5,35,7,2,0,0,0,0.0,0,0,263,84,179,841,0,87,80.8092,0.9288413793103448,0.795,1.7346,2.005,40.2798,0.46298620689655173,0.3936,0.8847,1.3436,87,40.5294,0.46585517241379315,0.3738,0.8804,1.0868,completed
3,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,01,40,10,2,37,4,3,0,0,0,0.0,0,0,259,83,176,845,0,86,82.6122,0.960606976744186,0.8092999999999999,1.8319,3.2192,40.9449,0.476103488372093,0.39170000000000005,0.8494,2.763,86,41.6673,0.484503488372093,0.37729999999999997,0.9076,2.1212,completed
3,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,02,56,15,0,57,0,1,0,0,0,0.0,0,0,298,113,185,807,0,39,45.8747,1.176274358974359,1.0605,2.06,2.1529,22.3503,0.5730846153846154,0.5247,1.031,1.0589,39,23.5244,0.6031897435897436,0.5638,1.094,1.2192,completed
3,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,03,50,16,0,51,0,1,0,0,0,0.0,0,0,285,102,183,819,0,52,53.1663,1.0224288461538462,0.8783000000000001,1.8442,2.6747,26.4802,0.5092346153846153,0.3631,0.9673,1.2679,52,26.6861,0.5131942307692308,0.42679999999999996,0.9379,1.5237,completed
4,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,00,36,11,0,37,0,2,0,0,0,0.0,0,0,234,74,160,721,0,47,51.3499,1.0925510638297873,0.9413,2.0819,3.6826,24.8741,0.5292361702127659,0.3628,0.9598,3.1705,47,26.4758,0.5633148936170213,0.5121,0.9846,1.259,completed
4,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,01,39,11,2,35,5,3,0,0,0,0.0,0,0,246,81,165,709,0,38,47.0431,1.2379763157894736,1.14295,1.9797,2.091,22.3562,0.588321052631579,0.49385,1.0576,1.1274,38,24.6869,0.6496552631578948,0.5849,1.0792,1.2183,completed
