# scenario_set=topk_readonly_sensitivity
# seed=20288978
# grid_size=28
# num_trials=50
# reserved_robot_counts=4
# target_decay_exp=1.0
trial_id,episode,object_x,object_y,target_x,target_y,clue1_x,clue1_y,clue2_x,clue2_y,clue3_x,clue3_y,clue4_x,clue4_y
0,0,2,20,2,20,23,15,21,22,1,21,0,2
1,1,13,15,13,15,11,21,17,17,6,23,20,18
2,2,10,19,10,19,4,23,8,7,11,3,8,23
3,3,13,25,13,25,12,21,7,25,20,15,16,26
4,4,8,12,8,12,1,11,13,10,8,10,12,24
5,5,24,18,24,18,25,1,1,18,16,11,25,21
6,6,21,1,21,1,20,1,10,23,24,21,24,5
7,7,22,2,22,2,19,15,5,7,19,1,27,27
8,8,10,9,10,9,4,10,4,13,21,10,15,5
9,9,24,25,24,25,24,21,17,6,6,1,27,23
10,10,25,26,25,26,14,17,15,27,27,2,21,17
11,11,23,23,23,23,10,17,1,0,24,10,17,21
12,12,3,1,3,1,0,16,3,3,20,7,25,12
13,13,2,5,2,5,5,23,0,6,6,3,14,20
14,14,23,27,23,27,21,27,24,26,7,22,13,24
15,15,13,22,13,22,14,19,9,22,13,25,17,4
16,16,7,10,7,10,4,12,6,7,24,0,7,8
17,17,14,24,14,24,24,25,14,25,13,20,24,23
18,18,26,20,26,20,26,27,24,25,9,19,1,16
19,19,7,4,7,4,14,10,13,26,0,3,5,14
20,20,11,17,11,17,11,12,11,19,13,22,12,17
21,21,18,13,18,13,23,17,9,8,2,0,19,14
22,22,9,23,9,23,3,19,15,5,8,17,19,16
23,23,14,21,14,21,8,20,16,22,12,18,10,23
24,24,1,21,1,21,18,4,7,10,0,14,23,21
25,25,17,10,17,10,11,18,11,7,20,20,17,9
26,26,7,21,7,21,22,16,8,15,2,18,20,22
27,27,1,3,1,3,18,4,0,7,20,15,2,3
28,28,12,24,12,24,2,23,20,25,15,8,10,8
29,29,18,8,18,8,20,10,25,11,17,8,9,3
30,30,3,17,3,17,20,10,22,4,26,0,10,8
31,31,27,0,27,0,10,3,0,20,26,1,8,18
32,32,27,21,27,21,6,16,26,4,27,20,25,7
33,33,17,17,17,17,6,17,19,22,6,10,5,25
34,34,2,17,2,17,2,18,10,11,8,21,3,16
35,35,16,5,16,5,23,6,22,18,21,9,14,5
36,36,18,10,18,10,18,16,16,12,13,9,5,2
37,37,20,19,20,19,18,21,18,23,22,5,17,1
38,38,15,19,15,19,15,11,3,15,12,19,3,23
39,39,18,20,18,20,12,19,26,24,3,1,26,27
40,40,18,21,18,21,25,12,22,25,17,16,6,14
41,41,3,0,3,0,14,14,4,0,3,5,14,16
42,42,9,15,9,15,0,10,21,2,4,15,11,4
43,43,16,23,16,23,9,14,20,8,15,6,19,22
44,44,2,14,2,14,19,26,2,15,3,13,26,15
45,45,27,3,27,3,7,20,17,5,24,5,20,20
46,46,3,23,3,23,16,21,14,11,10,11,4,24
47,47,5,4,5,4,2,6,17,22,15,6,25,9
48,48,18,18,18,18,6,15,14,20,23,10,0,10
49,49,23,6,23,6,6,19,7,17,15,27,27,1
