algorithm,top_k_rate,top_k_max_cells,completed_trials,failed_trials,mean_total_team_steps,mean_post_clue_steps_to_find,mean_unique_cells_searched,mean_system_revisits,mean_collision_prevention_events,mean_messages_sent_total,mean_workload_gini,mean_allocator_cycle_ms,mean_candidate_filter_cycle_ms,mean_host_trial_runtime_ms
ACBBA,1,361,500,0,161.892000,101.850000,152.606000,13.286000,0.812000,1256.352000,0.028085,8.962305,1.134375,1805.584798
ACBBA,0.75,271,500,0,161.892000,101.850000,152.606000,13.286000,0.812000,1256.352000,0.028085,10.250330,3.801509,1993.721731
ACBBA,0.5,181,500,0,161.956000,101.914000,152.682000,13.274000,0.828000,1253.244000,0.027738,9.674005,5.248340,1898.069971
ACBBA,0.25,90,500,0,162.020000,101.978000,150.404000,15.616000,1.264000,1208.104000,0.030612,6.066317,3.675851,1317.972723
ACBBA,0.1,36,500,0,161.944000,101.902000,148.606000,17.338000,1.096000,1127.472000,0.030827,3.074632,2.030313,828.926086
ACBBA,0.05,18,500,0,162.032000,101.990000,146.940000,19.092000,1.646000,1066.234000,0.033297,2.061478,1.542967,658.771832
CBAA,1,361,500,0,163.162000,103.120000,151.202000,15.960000,1.916000,854.432000,0.032576,2.157277,1.130065,649.822986
CBAA,0.75,271,500,0,163.162000,103.120000,151.202000,15.960000,1.916000,854.432000,0.032576,3.619708,3.672705,859.023153
CBAA,0.5,181,500,0,163.716000,103.674000,151.228000,16.488000,1.954000,856.896000,0.033023,4.296402,5.181347,954.514257
CBAA,0.25,90,500,0,164.164000,104.122000,149.572000,18.592000,2.230000,848.620000,0.034549,2.957168,3.685912,743.456390
CBAA,0.1,36,500,0,160.984000,100.942000,147.158000,17.826000,2.104000,806.924000,0.033843,1.602526,2.014100,530.484461
CBAA,0.05,18,500,0,162.718000,102.676000,146.328000,20.390000,2.152000,800.492000,0.035902,1.170726,1.547535,472.691768
DGA,1,361,500,0,179.968000,119.926000,157.084000,26.884000,2.746000,610.584000,0.038078,843.553343,1.104078,122410.985057
DGA,0.75,271,500,0,178.906000,118.864000,158.068000,24.838000,2.504000,592.438000,0.034342,705.703796,1.132480,96606.907588
DGA,0.5,181,499,1,172.761523,112.823647,153.378758,23.382766,2.218437,560.328657,0.033250,500.445563,1.239549,64604.005800
DGA,0.25,90,500,0,176.092000,116.050000,153.356000,26.736000,2.568000,575.236000,0.038137,265.235486,1.333455,35582.942486
DGA,0.1,36,500,0,172.908000,112.866000,150.594000,26.314000,2.586000,574.292000,0.038360,118.486920,1.435044,15792.452302
DGA,0.05,18,500,0,170.514000,110.472000,147.094000,27.420000,2.574000,568.990000,0.037027,67.487546,1.477885,8699.742239
DMCHBA,1,361,500,0,163.178000,103.136000,155.222000,11.956000,0.336000,335.080000,0.026233,755.370511,1.625540,105728.362123
DMCHBA,0.75,271,500,0,166.794000,106.752000,157.226000,13.568000,0.700000,342.762000,0.028352,597.459583,1.753051,84669.467218
DMCHBA,0.5,181,500,0,161.194000,101.152000,152.758000,12.436000,0.460000,331.298000,0.026271,254.396113,1.907576,35038.267389
DMCHBA,0.25,90,500,0,160.370000,100.328000,149.406000,14.964000,0.592000,329.858000,0.029244,37.358796,1.959270,5006.309459
DMCHBA,0.1,36,500,0,162.420000,102.378000,147.944000,18.476000,0.762000,333.908000,0.032646,3.499157,1.980854,593.106604
DMCHBA,0.05,18,500,0,166.800000,106.758000,149.112000,21.688000,0.862000,342.744000,0.033549,1.587995,2.009211,361.653173
HIPC,1,361,500,0,163.236000,103.194000,151.956000,15.280000,1.674000,578.084000,0.029325,10.697537,6.865502,1822.135420
HIPC,0.75,271,500,0,163.236000,103.194000,151.956000,15.280000,1.674000,578.084000,0.029325,10.151206,6.782525,1748.481056
HIPC,0.5,181,499,1,163.038076,103.058116,151.967936,15.070140,1.555110,575.396794,0.028437,7.996560,5.875142,1440.352835
HIPC,0.25,90,500,0,162.746000,102.704000,149.734000,17.012000,1.892000,554.956000,0.031711,4.729027,3.749511,942.835446
HIPC,0.1,36,498,2,162.744980,102.642570,147.285141,19.459839,2.767068,518.837349,0.034140,2.281127,2.018692,561.741112
HIPC,0.05,18,499,1,165.132265,104.991984,147.364729,21.767535,1.869739,495.126253,0.032489,1.450945,1.542157,433.790121
PI,1,361,500,0,166.884000,106.842000,153.328000,17.556000,1.812000,512.146000,0.032540,8.930181,1.155521,1091.519028
PI,0.75,271,500,0,166.884000,106.842000,153.328000,17.556000,1.812000,512.146000,0.032540,9.547677,4.127906,1147.257464
PI,0.5,181,500,0,168.020000,107.978000,154.058000,17.962000,1.600000,514.272000,0.031661,8.329050,5.397783,1038.607648
PI,0.25,90,500,0,168.420000,108.378000,152.156000,20.264000,2.118000,504.260000,0.033264,4.854959,3.851333,712.352445
PI,0.1,36,500,0,167.198000,107.156000,149.144000,22.054000,2.050000,477.960000,0.032545,2.184739,2.090343,452.501250
PI,0.05,18,500,0,170.292000,110.250000,147.844000,26.448000,2.226000,465.212000,0.035487,1.314232,1.555745,365.977481
