trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
9,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.05,18,,,acbba_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,1,0,1,5,0,0,0,0,22,64,0,5,17,10,12,22,12,0.0,4.4,22.0,12.0,12.0,2.4,acbba_entry:12;clue:4;collision_intent:4;state:1;target:1,1,7,0.1499999999999999,completed
45,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.05,18,,,acbba_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,250,139,111,225,29,10,0,0,1273,3815,0,251,1022,513,760,995,760,0.0,5.657777777777778,8.963963963963964,3.04,6.846846846846847,3.3777777777777778,acbba_entry:760;clue:12;collision_intent:250;state:250;target:1,63,327,0.02111111111111108,completed
81,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.05,18,,,acbba_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,276,77,199,251,29,5,2,2,1921,5761,0,279,1642,567,1354,1765,1354,0.0,7.653386454183267,8.869346733668342,4.905797101449275,6.8040201005025125,5.394422310756972,acbba_entry:1354;clue:12;collision_intent:278;state:276;target:1,69,493,0.008964143426294813,completed
117,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.05,18,,,acbba_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,470,131,339,358,116,13,1,1,3242,9722,0,473,2769,959,2283,2980,2283,0.0,9.05586592178771,8.7905604719764,4.857446808510638,6.734513274336283,6.377094972067039,acbba_entry:2283;clue:16;collision_intent:472;state:470;target:1,119,843,0.0488826815642458,completed
153,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.05,18,,,acbba_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,290,138,152,253,41,7,0,0,1807,5418,0,292,1515,590,1217,1530,1217,0.0,7.142292490118577,10.06578947368421,4.196551724137931,8.006578947368421,4.810276679841897,acbba_entry:1217;clue:8;collision_intent:291;state:290;target:1,73,465,0.032608695652173836,completed
189,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.05,18,,,acbba_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,192,141,51,184,12,4,2,1,720,2158,0,195,525,391,329,438,329,0.0,3.9130434782608696,8.588235294117647,1.7135416666666667,6.450980392156863,1.7880434782608696,acbba_entry:329;clue:4;collision_intent:194;state:192;target:1,48,187,0.01902173913043481,completed
225,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.05,18,,,acbba_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,135,135,0,139,0,0,0,0,272,814,0,137,135,272,0,0,0,0.0,1.9568345323741008,0.0,0.0,0.0,0.0,collision_intent:136;state:135;target:1,35,71,0.012589928057553879,completed
261,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.05,18,,,acbba_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,303,0,303,264,43,14,1,1,2915,8741,0,305,2610,624,2291,2915,2291,0.0,11.041666666666666,9.62046204620462,7.561056105610561,7.561056105610561,8.678030303030303,acbba_entry:2291;clue:16;collision_intent:304;state:303;target:1,76,749,0.043560606060605966,completed
297,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.05,18,,,acbba_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,379,0,379,326,57,17,3,3,3626,10874,0,383,3243,778,2848,3626,2848,0.0,11.122699386503067,9.567282321899736,7.514511873350924,7.514511873350924,8.736196319018404,acbba_entry:2848;clue:16;collision_intent:382;state:379;target:1,96,935,0.0521472392638036,completed
333,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,ACBBA,ideal,1.0,19,361,4,0.05,18,,,acbba_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,73,14,59,70,7,5,0,0,634,1898,0,74,560,155,479,606,479,0.0,9.057142857142857,10.271186440677965,6.561643835616438,8.11864406779661,6.8428571428571425,acbba_entry:479;clue:8;collision_intent:73;state:73;target:1,19,163,0.06428571428571428,completed
