trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
9,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,12,0,12,16,0,2,0,0,63,187,0,13,50,29,34,63,34,0.0,3.9375,5.25,2.8333333333333335,2.8333333333333335,2.125,cbaa_entry:34;clue:4;collision_intent:12;state:12;target:1,3,17,0.0,completed
45,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,221,139,82,209,16,2,0,0,816,2445,0,223,593,456,360,538,360,0.0,3.9043062200956937,6.560975609756097,1.6289592760180995,4.390243902439025,1.722488038277512,cbaa_entry:360;clue:12;collision_intent:222;state:221;target:1,57,206,0.022727272727272707,completed
81,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,420,77,343,322,102,16,2,2,2393,7178,0,423,1970,855,1538,2237,1538,0.0,7.431677018633541,6.521865889212828,3.6619047619047618,4.48396501457726,4.77639751552795,cbaa_entry:1538;clue:12;collision_intent:422;state:420;target:1,106,615,0.06366459627329202,completed
117,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,356,131,225,293,67,19,7,7,1759,5275,0,364,1395,732,1027,1497,1027,0.0,6.003412969283277,6.653333333333333,2.884831460674157,4.564444444444445,3.5051194539249146,cbaa_entry:1027;clue:12;collision_intent:363;state:356;target:1,89,444,0.04351535836177467,completed
153,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,322,138,184,274,52,12,4,3,1479,4434,0,328,1151,658,821,1202,821,0.0,5.397810218978102,6.532608695652174,2.549689440993789,4.461956521739131,2.9963503649635035,cbaa_entry:821;clue:8;collision_intent:327;state:322;target:1,81,376,0.018248175182481674,completed
189,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,206,141,65,189,21,6,0,0,701,2101,0,208,493,418,283,419,283,0.0,3.708994708994709,6.446153846153846,1.3737864077669903,4.3538461538461535,1.4973544973544974,cbaa_entry:283;clue:4;collision_intent:207;state:206;target:1,52,178,0.03571428571428581,completed
225,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,135,135,0,139,0,0,0,0,272,814,0,137,135,272,0,0,0,0.0,1.9568345323741008,0.0,0.0,0.0,0.0,collision_intent:136;state:135;target:1,35,71,0.012589928057553879,completed
261,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,322,0,322,285,41,17,4,4,2171,6509,0,327,1844,661,1510,2171,1510,0.0,7.617543859649123,6.74223602484472,4.6894409937888195,4.6894409937888195,5.298245614035087,cbaa_entry:1510;clue:12;collision_intent:326;state:322;target:1,81,554,0.0552631578947369,completed
297,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,313,0,313,257,60,23,4,4,2047,6137,0,318,1729,647,1400,2047,1400,0.0,7.964980544747082,6.539936102236422,4.472843450479234,4.472843450479234,5.447470817120623,cbaa_entry:1400;clue:16;collision_intent:317;state:313;target:1,80,517,0.10214007782101175,completed
333,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,167,14,153,153,18,7,4,3,1044,3130,0,172,872,351,693,1016,693,0.0,6.823529411764706,6.640522875816994,4.149700598802395,4.529411764705882,4.529411764705882,cbaa_entry:693;clue:12;collision_intent:171;state:167;target:1,43,268,0.06045751633986929,completed
