trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,trial_mode,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,max_candidate_cells,condition_id,scenario_file,host_trial_runtime_ms,robot_id,allocator_calls,allocator_calls_pre_clue,allocator_calls_post_clue,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_time_pct,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_max,allocator_time_ms_pre_clue_total,allocator_time_ms_post_clue_total,allocator_host_runtime_pct,trial_status
8,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.25,90,90,dmchba_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,11127.535948,00,52,9,43,2657.3123100000003,51.10215980769231,0.066531,193.590291,223.268338,23.880509776988053,47,92.889202,1.9763659999999998,2.694267,0.168521,2657.143789,23.880509776988053,completed
8,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.25,90,90,dmchba_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,11127.535948,01,52,8,44,2604.57304,50.08794307692308,0.06523499999999999,202.363896,236.897938,23.406556960780982,44,91.03131499999999,2.0688935227272727,3.044619,0.174568,2604.3984720000003,23.406556960780982,completed
8,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.25,90,90,dmchba_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,11127.535948,02,52,9,43,2725.397432,52.41148907692308,0.064355,192.254571,216.768938,24.492371399526665,47,94.939299,2.019985085106383,2.759934,0.24497000000000002,2725.152462,24.492371399526665,completed
8,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.25,90,90,dmchba_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,11127.535948,03,49,6,43,2635.22523,53.78010673469388,0.064547,210.107111,232.134437,23.682019472367017,44,88.52822699999997,2.0120051590909083,2.966247,0.11997499999999998,2635.105255,23.682019472367017,completed
44,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.25,90,90,dmchba_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,83.954317,00,29,29,0,0.6008610000000001,0.02071934482758621,0.019073,0.022465,0.066659,0.7156999442923228,0,0.0,0.0,0.0,0.6008610000000001,0.0,0.7156999442923228,completed
44,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.25,90,90,dmchba_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,83.954317,01,29,29,0,0.6339480000000001,0.021860275862068967,0.021537,0.024257,0.025089,0.7551106633384916,0,0.0,0.0,0.0,0.6339480000000001,0.0,0.7551106633384916,completed
44,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.25,90,90,dmchba_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,83.954317,02,29,29,0,0.6514220000000001,0.0224628275862069,0.021729,0.026305,0.039842,0.7759243637227137,0,0.0,0.0,0.0,0.6514220000000001,0.0,0.7759243637227137,completed
44,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.25,90,90,dmchba_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,83.954317,03,27,27,0,0.5299769999999999,0.019628777777777776,0.018689,0.025121,0.033569,0.631268312265586,0,0.0,0.0,0.0,0.5299769999999999,0.0,0.631268312265586,completed
80,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.25,90,90,dmchba_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,10949.946428,00,28,6,22,1741.0374779999997,62.17990992857142,0.060611,211.366977,250.380111,15.899963433136168,25,50.639320000000005,2.0255728000000004,2.818754,0.12074199999999999,1740.9167359999997,15.899963433136168,completed
80,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.25,90,90,dmchba_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,10949.946428,01,51,6,45,3134.2910299999994,61.45668686274509,0.064355,216.966164,250.807015,28.62380241409524,47,99.226389,2.111199765957447,2.814114,0.13267800000000002,3134.1583519999995,28.62380241409524,completed
80,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.25,90,90,dmchba_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,10949.946428,02,48,6,42,3015.665492,62.82636441666667,0.062915,232.301485,236.457753,27.54045886734817,44,96.77455800000003,2.1994217727272733,2.899814,0.137702,3015.52779,27.54045886734817,completed
80,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.25,90,90,dmchba_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,10949.946428,03,38,4,34,2762.5687519999997,72.69917768421051,0.06592300000000001,220.202794,250.983407,25.229061805598082,39,84.08087500000002,2.155919871794872,2.827555,0.09594,2762.4728119999995,25.229061805598082,completed
116,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.25,90,90,dmchba_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,3265.065983,00,59,47,12,701.781978,11.894609796610169,0.020032,166.122057,193.049745,21.493653777716013,11,17.155685000000002,1.5596077272727273,1.765395,0.9554360000000002,700.826542,21.493653777716013,completed
116,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.25,90,90,dmchba_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,3265.065983,01,62,47,15,890.476359,14.362521919354839,0.022177000000000002,162.550954,198.946533,27.272844213145568,14,21.208934000000003,1.5149238571428574,1.771603,1.01371,889.462649,27.272844213145568,completed
116,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.25,90,90,dmchba_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,3265.065983,02,54,46,8,757.423434,14.026359888888889,0.022257,183.579824,198.833739,23.19779869514508,11,16.435653,1.4941502727272726,1.701392,1.0314429999999999,756.3919910000001,23.19779869514508,completed
116,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.25,90,90,dmchba_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,3265.065983,03,56,45,11,713.0116629999999,12.732351124999997,0.019857,164.857462,196.218757,21.837588174707335,11,16.723956,1.5203596363636365,1.712208,0.8863779999999999,712.125285,21.837588174707335,completed
