trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,trial_mode,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,max_candidate_cells,condition_id,scenario_file,host_trial_runtime_ms,robot_id,allocator_calls,allocator_calls_pre_clue,allocator_calls_post_clue,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_time_pct,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_max,allocator_time_ms_pre_clue_total,allocator_time_ms_post_clue_total,allocator_host_runtime_pct,trial_status
20,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.75,271,271,hipc_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,30.69436,00,10,10,0,0.398335,0.0398335,0.036975999999999995,0.059712,0.059712,1.2977465566964095,0,0.0,0.0,0.0,0.398335,0.0,1.2977465566964095,completed
20,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.75,271,271,hipc_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,30.69436,01,10,10,0,0.542524,0.0542524,0.0389115,0.190463,0.190463,1.7675038671599603,0,0.0,0.0,0.0,0.542524,0.0,1.7675038671599603,completed
20,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.75,271,271,hipc_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,30.69436,02,10,10,0,0.468767,0.0468767,0.038384,0.120512,0.120512,1.5272089074344604,0,0.0,0.0,0.0,0.468767,0.0,1.5272089074344604,completed
20,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.75,271,271,hipc_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,30.69436,03,8,8,0,0.32847699999999996,0.041059624999999995,0.036143999999999996,0.0768,0.0768,1.0701542563519812,0,0.0,0.0,0.0,0.32847699999999996,0.0,1.0701542563519812,completed
56,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.75,271,271,hipc_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,702.0235,00,49,43,6,173.23576500000001,3.5354237755102043,0.036864,34.509867,35.663367,24.67663333207507,6,24.798196000000004,4.133032666666668,4.62046,1.6220390000000005,171.61372599999999,24.67663333207507,completed
56,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.75,271,271,hipc_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,702.0235,01,48,43,5,121.647414,2.534321125,0.039552000000000004,21.439684,34.747915,17.32811138088682,5,21.644641999999997,4.3289284,4.634796,1.7313219999999996,119.91609199999999,17.32811138088682,completed
56,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.75,271,271,hipc_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,702.0235,02,48,43,5,71.410579,1.4877203958333334,0.038992,7.612224,35.111625,10.172106631758053,5,20.360233,4.0720466,4.818316,1.750845,69.65973399999999,10.172106631758053,completed
56,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.75,271,271,hipc_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,702.0235,03,46,41,5,152.960495,3.325228152173913,0.03696,34.266572,36.520419,21.78851491438677,5,21.776867,4.3553733999999995,4.74382,1.529242,151.431253,21.78851491438677,completed
92,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.75,271,271,hipc_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,4973.417722,00,49,0,49,1463.3622129999999,29.864534959183672,23.515204,68.240259,68.966017,29.42367391596309,49,520.1085340000002,10.614459877551024,17.235254,0.0,1463.3622129999999,29.42367391596309,completed
92,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.75,271,271,hipc_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,4973.417722,01,50,0,50,865.353239,17.30706478,13.7191805,44.979653,65.427151,17.399568815064434,50,465.773829,9.31547658,17.087255,0.0,865.353239,17.399568815064434,completed
92,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.75,271,271,hipc_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,4973.417722,02,42,0,42,783.037648,18.643753523809522,13.110078999999999,44.359847,63.014385,15.74445767014943,42,397.7662879999999,9.470625904761903,16.957495,0.0,783.037648,15.74445767014943,completed
92,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.75,271,271,hipc_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,4973.417722,03,48,0,48,1097.770144,22.870211333333334,15.642131,48.498007,66.436011,22.072751684299405,48,497.08364100000006,10.355909187500002,17.272277,0.0,1097.770144,22.072751684299405,completed
128,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.75,271,271,hipc_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,14.167469,00,5,5,0,0.205023,0.0410046,0.037824,0.058431,0.058431,1.4471392173153865,0,0.0,0.0,0.0,0.205023,0.0,1.4471392173153865,completed
128,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.75,271,271,hipc_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,14.167469,01,4,4,0,0.21843200000000002,0.054608000000000004,0.040416,0.103872,0.103872,1.5417856216943198,0,0.0,0.0,0.0,0.21843200000000002,0.0,1.5417856216943198,completed
128,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.75,271,271,hipc_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,14.167469,02,4,4,0,0.17804799999999998,0.044511999999999996,0.038464,0.063648,0.063648,1.2567382360250796,0,0.0,0.0,0.0,0.17804799999999998,0.0,1.2567382360250796,completed
128,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.75,271,271,hipc_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,14.167469,03,2,2,0,0.091487,0.0457435,0.0457435,0.056927,0.056927,0.6457540157666835,0,0.0,0.0,0.0,0.091487,0.0,0.6457540157666835,completed
164,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.75,271,271,hipc_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,916.6435,00,26,22,4,118.72249,4.566249615384615,0.03352,49.028659,49.433357,12.951871692757326,4,20.725334,5.1813335,5.388941,0.7566700000000001,117.96582000000001,12.951871692757326,completed
164,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.75,271,271,hipc_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,916.6435,01,28,21,7,221.872141,7.924005035714286,0.037311,49.530477,50.008747,24.20484528608996,7,38.375799,5.482257,5.929931,0.797148,221.074993,24.20484528608996,completed
164,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.75,271,271,hipc_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,916.6435,02,29,22,7,221.63902,7.642724827586206,0.038144,49.364941,49.984523,24.179413261535153,7,38.788439999999994,5.541205714285714,5.994347,0.901725,220.737295,24.179413261535153,completed
164,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,HIPC,ideal,1.0,clue_search,19,361,4,0.75,271,271,hipc_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,916.6435,03,27,20,7,222.469234,8.23960125925926,0.033919,49.601299,50.369801,24.269984350513585,7,39.430231,5.632890142857143,6.084714,0.69123,221.778004,24.269984350513585,completed
