trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,trial_mode,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,max_candidate_cells,condition_id,scenario_file,host_trial_runtime_ms,robot_id,allocator_calls,allocator_calls_pre_clue,allocator_calls_post_clue,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_time_pct,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_max,allocator_time_ms_pre_clue_total,allocator_time_ms_post_clue_total,allocator_host_runtime_pct,trial_status
26,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.1,36,36,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,43.329728,00,15,15,0,0.49668399999999996,0.03311226666666666,0.031776,0.053825,0.053825,1.1462892174167352,0,0.0,0.0,0.0,0.49668399999999996,0.0,1.1462892174167352,completed
26,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.1,36,36,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,43.329728,01,14,14,0,0.51742,0.03695857142857143,0.034513,0.065153,0.065153,1.1941455067523155,0,0.0,0.0,0.0,0.51742,0.0,1.1941455067523155,completed
26,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.1,36,36,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,43.329728,02,14,14,0,0.5338350000000001,0.03813107142857143,0.033840999999999996,0.058434,0.058434,1.2320294279253265,0,0.0,0.0,0.0,0.5338350000000001,0.0,1.2320294279253265,completed
26,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.1,36,36,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,43.329728,03,12,12,0,0.537198,0.044766499999999994,0.031153,0.200132,0.200132,1.2397908429058218,0,0.0,0.0,0.0,0.537198,0.0,1.2397908429058218,completed
62,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.1,36,36,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,360.512552,00,37,36,1,8.561775,0.23139932432432433,0.03312,0.056097,7.343864,2.374889571112631,1,2.522484,2.522484,2.522484,1.2179110000000004,7.343864,2.374889571112631,completed
62,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.1,36,36,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,360.512552,01,40,36,4,30.599610000000002,0.7649902500000001,0.0359045,7.109044,7.941797,8.487807104147652,4,9.522214,2.3805535,2.594934,1.3189380000000002,29.280672,8.487807104147652,completed
62,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.1,36,36,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,360.512552,02,43,36,7,49.193367,1.1440317906976745,0.036161,7.095987,7.622398,13.645396457652325,7,16.324211000000002,2.332030142857143,2.60591,1.3104229999999997,47.882944,13.645396457652325,completed
62,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.1,36,36,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,360.512552,03,40,34,6,42.00602,1.0501505,0.034001,7.087282,7.292023,11.651749645599024,6,13.567193,2.2611988333333333,2.519572,1.238681,40.767339,11.651749645599024,completed
98,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.1,36,36,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,255.578607,00,19,15,4,28.103433000000003,1.479128052631579,0.032257,7.24255,7.24255,10.996003667865677,4,9.416419,2.35410475,2.459571,0.5021239999999999,27.601309,10.996003667865677,completed
98,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,clue_search,19,361,4,0.1,36,36,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,255.578607,01,18,15,3,22.211019,1.2339455,0.032688999999999996,7.374488,7.374488,8.690484411318511,3,7.396314,2.4654380000000002,2.627543,0.562732,21.648287,8.690484411318511,completed
