trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,top_k_rate,top_k_max_cells,max_candidate_cells,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,PI,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_pi_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,50,True,79.30514237762668,79.30514237762668,1,1,1,155,44,155,4,7,0,0,0,0.0,0,417,0,466,1395,0,162,304,321,145,0.0,9.32,2.9,collision_intent:162;pi_clear_path:5;pi_entry:140;state:159,0.07000000000000006,0.06612903225806455,158,280.31033099999996,4.751086,257.79485700000004,3.927564,197,22.515473999999998,0.294517,completed
1,known_visit,PI,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_pi_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,50,True,87.96614220432805,87.96614220432805,2,2,2,163,50,160,7,5,0,0,0,0.0,0,450,0,481,1440,0,167,314,334,147,0.0,9.62,2.94,collision_intent:167;pi_clear_path:4;pi_entry:143;state:167,0.1499999999999999,0.140625,181,302.82837100000006,4.581973,279.13835,3.777299,211,23.690021,0.618601,completed
2,known_visit,PI,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_pi_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,50,True,125.86688296440947,125.86688296440947,6,6,6,195,72,177,22,10,0,0,0,0.0,0,613,0,549,1644,0,199,350,398,151,0.0,10.98,3.02,collision_intent:199;pi_clear_path:4;pi_entry:147;state:199,0.15999999999999992,0.134180790960452,288,377.83751000000007,4.919847,356.77195800000004,4.125605,308,21.065552,0.274197,completed
3,known_visit,PI,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_pi_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,50,True,98.82913238608691,98.82913238608691,5,5,5,169,56,161,12,5,0,0,0,0.0,0,497,0,498,1491,0,178,320,351,147,0.0,9.96,2.94,collision_intent:178;pi_clear_path:8;pi_entry:139;state:173,0.09000000000000008,0.07298136645962727,219,540.4203170000001,22.888839,501.38532699999996,22.769707,251,39.03498999999999,16.124644,completed
4,known_visit,PI,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_pi_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,50,True,115.07662550206668,115.07662550206668,5,5,5,189,60,182,11,10,0,0,0,0.0,0,562,0,548,1641,0,197,351,390,158,0.0,10.96,3.16,collision_intent:197;pi_clear_path:8;pi_entry:150;state:193,0.22999999999999998,0.13461538461538458,241,367.16410199999996,4.32947,342.416832,3.537883,280,24.74727,0.275894,completed
5,known_visit,PI,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_pi_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,50,True,114.52840079408061,114.52840079408061,2,2,2,170,65,163,11,4,0,0,0,0.0,0,558,0,497,1488,0,176,321,350,147,0.0,9.94,2.94,collision_intent:176;pi_clear_path:5;pi_entry:142;state:174,0.22999999999999998,0.22239263803680975,284,378.78350699999993,4.200099,356.111012,3.420801,288,22.672495000000005,0.278741,completed
6,known_visit,PI,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_pi_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,50,True,83.51123801814053,83.51123801814053,1,1,1,150,39,151,3,4,0,0,0,0.0,0,431,0,439,1314,0,157,282,311,128,0.0,8.78,2.56,collision_intent:157;pi_clear_path:7;pi_entry:121;state:154,0.07000000000000006,0.0314569536423841,180,301.098683,4.327806,275.911209,3.519964,238,25.187473999999998,0.279158,completed
7,known_visit,PI,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_pi_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,50,True,85.3798874018663,85.3798874018663,0,0,0,152,47,156,0,5,0,0,0,0.0,0,437,0,448,1341,0,157,291,313,135,0.0,8.96,2.7,collision_intent:157;pi_clear_path:5;pi_entry:130;state:156,0.1399999999999999,0.08653846153846145,191,293.487354,4.206946,270.88397399999997,3.408832,229,22.603379999999998,0.27455,completed
8,known_visit,PI,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_pi_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,50,True,106.21821239914772,106.21821239914772,2,2,2,164,59,161,7,2,1,1,0,0.0,0,529,0,494,1479,0,173,321,341,153,0.0,9.88,3.06,collision_intent:173;pi_clear_path:8;pi_entry:145;state:168,0.27,0.16304347826086962,256,438.8270299999999,26.920593,412.496722,26.546911,298,26.330308000000002,0.290037,completed
9,known_visit,PI,ideal,1.0,19,361,4,50,0.04,2,2,collaborative_pi_fixed_k2_k2,/home/agxorin/topk_filter_study/results/sensitivity_suite/scenarios/known_targets_g19_t50_n100.csv,50,True,86.87453863455244,86.87453863455244,3,3,3,150,48,147,7,9,1,1,0,0.0,0,448,0,449,1344,0,155,294,309,140,0.0,8.98,2.8,collision_intent:155;pi_clear_path:4;pi_entry:136;state:154,0.19999999999999996,0.12414965986394555,197,393.80119599999995,22.520309,371.088893,22.401369,227,22.712303,0.290357,completed
