trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,trial_mode,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,max_candidate_cells,condition_id,scenario_file,host_trial_runtime_ms,robot_id,allocator_calls,allocator_calls_pre_clue,allocator_calls_post_clue,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_time_pct,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_max,allocator_time_ms_pre_clue_total,allocator_time_ms_post_clue_total,allocator_host_runtime_pct,trial_status
0,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,HIPC,rayleigh_style,sens_-50.63,clue_search,19,361,4,0.05,18,18,comm_g19_r4_rayleigh_drop025_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,186.5162,00,16,10,6,16.9238,1.0577375,0.02605,3.7121,3.7121,9.07363542684228,6,9.0469,1.5078166666666668,1.6002,0.2876,16.6362,9.07363542684228,completed
0,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,HIPC,rayleigh_style,sens_-50.63,clue_search,19,361,4,0.05,18,18,comm_g19_r4_rayleigh_drop025_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,186.5162,01,15,9,6,19.9801,1.3320066666666668,0.0343,3.9233,3.9233,10.712259846597776,6,9.362300000000001,1.5603833333333335,1.7193,0.2787,19.7014,10.712259846597776,completed
0,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,HIPC,rayleigh_style,sens_-50.63,clue_search,19,361,4,0.05,18,18,comm_g19_r4_rayleigh_drop025_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,186.5162,02,16,10,6,23.186700000000002,1.4491687500000001,0.0411,3.8787,3.8787,12.431467078999036,6,9.4951,1.5825166666666668,1.7175,0.4215,22.7652,12.431467078999036,completed
0,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,HIPC,rayleigh_style,sens_-50.63,clue_search,19,361,4,0.05,18,18,comm_g19_r4_rayleigh_drop025_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,186.5162,03,13,7,6,18.5971,1.430546153846154,0.0517,3.9304,3.9304,9.970769295106805,6,9.497399999999999,1.5828999999999998,1.698,0.2052,18.3919,9.970769295106805,completed
1,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,HIPC,rayleigh_style,sens_-50.63,clue_search,19,361,4,0.05,18,18,comm_g19_r4_rayleigh_drop025_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,193.8523,00,32,25,7,14.0245,0.438265625,0.02705,2.3183,3.372,7.234631727351184,7,6.7519,0.9645571428571429,1.2873,0.6914,13.3331,7.234631727351184,completed
1,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,HIPC,rayleigh_style,sens_-50.63,clue_search,19,361,4,0.05,18,18,comm_g19_r4_rayleigh_drop025_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,193.8523,01,33,25,8,22.8562,0.6926121212121212,0.0332,3.4853,3.562,11.790522990957546,8,8.6685,1.0835625,1.3259,0.8210999999999999,22.0351,11.790522990957546,completed
1,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,HIPC,rayleigh_style,sens_-50.63,clue_search,19,361,4,0.05,18,18,comm_g19_r4_rayleigh_drop025_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,193.8523,02,31,25,6,12.6829,0.4091258064516129,0.0311,2.7064,3.4149,6.542558432373513,6,6.4955,1.0825833333333332,1.3543,0.7959,11.887,6.542558432373513,completed
1,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,HIPC,rayleigh_style,sens_-50.63,clue_search,19,361,4,0.05,18,18,comm_g19_r4_rayleigh_drop025_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,193.8523,03,29,23,6,14.460600000000001,0.49864137931034486,0.028,2.7517,3.349,7.4595968167517235,6,6.2531,1.0421833333333332,1.2724,0.7286,13.732000000000001,7.4595968167517235,completed
2,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,HIPC,rayleigh_style,sens_-50.63,clue_search,19,361,4,0.05,18,18,comm_g19_r4_rayleigh_drop025_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,7.1356,00,3,3,0,0.0825,0.0275,0.0221,0.0409,0.0409,1.1561746734682437,0,0.0,0.0,0.0,0.0825,0.0,1.1561746734682437,completed
2,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,HIPC,rayleigh_style,sens_-50.63,clue_search,19,361,4,0.05,18,18,comm_g19_r4_rayleigh_drop025_hipc_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,7.1356,01,3,3,0,0.133,0.044333333333333336,0.0269,0.0801,0.0801,1.8638937160154718,0,0.0,0.0,0.0,0.133,0.0,1.8638937160154718,completed
