trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status
0,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,00,47,14,1,46,2,0,0,0,0,0.0,0,0,272,95,177,762,0,34,76.4803,2.249420588235294,1.20535,6.3535,6.5195,56.646,1.6660588235294118,0.7641,5.418,5.511,34,19.8343,0.5833617647058823,0.5298499999999999,1.1015,1.2821,completed
0,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,01,39,10,0,39,1,0,0,0,0,0.0,0,0,251,81,170,782,0,63,110.8741,1.7599063492063491,0.9034,5.0499,7.3813,77.5739,1.2313317460317459,0.3478,4.3666,6.3322,63,33.3002,0.5285746031746031,0.4361,1.0491,1.626,completed
0,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,02,40,14,0,41,0,5,0,0,0,0.0,0,0,260,83,177,773,0,57,100.0106,1.7545719298245614,0.9783,5.6139,9.107,69.3853,1.2172859649122807,0.337,4.7675,8.1313,57,30.6253,0.5372859649122806,0.4803,1.0109,1.1805,completed
0,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,03,39,12,0,40,0,0,0,0,0,0.0,0,0,251,81,170,782,0,58,79.2859,1.366998275862069,0.808,5.1699,5.8328,50.4466,0.8697689655172414,0.32105,4.3839,4.9626,58,28.8393,0.4972293103448276,0.4254,1.0039,1.2509,completed
1,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,00,41,13,0,40,2,5,0,0,0,0.0,0,0,282,84,198,882,0,68,102.8365,1.5123014705882354,0.84805,4.6876,6.8322,73.1991,1.0764573529411765,0.398,4.0362,6.1571,68,29.6374,0.4358441176470588,0.3591,0.8607,0.9337,completed
1,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,01,39,12,0,40,0,3,0,0,0,0.0,0,0,281,80,201,883,0,74,103.6833,1.4011256756756758,0.75265,5.3672,6.4716,69.9498,0.9452675675675675,0.3641,4.5838,5.4473,74,33.7335,0.4558581081081081,0.36324999999999996,0.9155,1.0243,completed
1,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,02,52,10,4,41,12,6,0,0,0,0.0,0,0,310,106,204,855,0,40,96.5425,2.4135625000000003,2.15965,5.3991,6.2766,73.3282,1.833205,1.7156500000000001,4.5179,5.1778,40,23.2143,0.5803575000000001,0.52475,0.928,1.0988,completed
1,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,03,37,15,0,38,0,3,0,0,0,0.0,0,0,292,76,216,872,0,82,120.5952,1.4706731707317073,0.7757000000000001,4.7855,7.5346,83.1018,1.0134365853658536,0.37935,4.115,6.5874,82,37.4934,0.45723658536585365,0.36265000000000003,0.8942,1.4069,completed
2,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,00,33,15,0,34,0,0,0,0,0,0.0,0,0,233,68,165,702,0,52,93.8854,1.8054884615384617,0.9433,5.6526,5.6857,61.3465,1.1797403846153847,0.4093,4.6117,4.7038,52,32.5389,0.6257480769230769,0.45575,1.074,5.1697,completed
2,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,01,37,11,0,38,0,2,0,0,0,0.0,0,0,233,76,157,702,0,40,75.1516,1.87879,1.00365,5.4182,6.1424,53.3633,1.3340825,0.3869,4.4754,5.1923,40,21.7883,0.5447075,0.50815,0.9501,0.9821,completed
2,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,02,40,14,0,39,2,1,0,0,0,0.0,0,0,244,81,163,692,0,36,81.1588,2.254411111111111,1.1172,5.3391,6.0951,58.8117,1.6336583333333334,0.47304999999999997,4.5851,5.0794,36,22.3471,0.6207527777777778,0.58645,1.0157,1.3457,completed
2,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,03,32,10,0,33,0,2,0,0,0,0.0,0,0,226,67,159,709,0,56,95.8626,1.7118321428571428,0.88175,5.9288,6.0041,66.628,1.1897857142857142,0.41085,4.6051,5.0933,56,29.2346,0.5220464285714286,0.44355,1.1198,1.3853,completed
3,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,00,33,12,0,34,0,2,0,0,0,0.0,0,0,228,68,160,745,0,81,105.0917,1.2974283950617285,0.7994,5.1519,7.856,67.2137,0.8297987654320989,0.3484,4.3989,6.9813,81,37.878,0.4676296296296296,0.3627,0.9088,1.1247,completed
3,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,01,38,12,2,36,3,3,0,0,0,0.0,0,0,245,78,167,728,0,60,99.1912,1.6531866666666666,0.93695,5.8385,6.8039,69.4447,1.1574116666666667,0.35275,4.9507,5.6725,60,29.7465,0.495775,0.3649,0.9539,1.3027,completed
3,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,02,47,11,2,42,6,1,0,0,0,0.0,0,0,254,95,159,720,0,37,78.2793,2.115656756756757,1.1052,6.1416,6.6732,57.077,1.5426216216216215,0.5517,5.4556,5.5761,37,21.2023,0.5730351351351352,0.5104,1.0761,1.0971,completed
3,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,03,40,15,0,41,0,0,0,0,0,0.0,0,0,247,82,165,726,0,55,89.7217,1.6313036363636364,0.8325,5.64,6.273,60.5721,1.101310909090909,0.3398,4.7826,5.2857,55,29.1496,0.5299927272727273,0.4024,0.9657,2.3967,completed
4,known_visit,ACBBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_acbba_topk050,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n100.csv,00,49,14,2,45,5,3,0,0,0,0.0,0,0,273,99,174,741,0,35,82.9624,2.370354285714286,1.1397,6.1387,6.694,59.5818,1.702337142857143,0.6902,5.0399,5.8644,35,23.3806,0.6680171428571429,0.6033,1.278,1.8767,completed
