trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,trial_status
0,known_visit,DGA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dga_topk100,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,100.30815265604717,100.30815265604717,7,7,7,224,57,201,27,3,8,7,1,5.0,1,543,0,691,2070,0,233,458,461,230,0.0,13.82,4.6,collision_intent:233;dga_entry:230;state:228,0.1399999999999999,0.026119402985074647,completed
1,known_visit,DGA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dga_topk100,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,77.57788235751515,77.57788235751515,7,7,7,173,44,160,17,6,0,0,0,0.0,0,417,0,552,1650,0,173,379,350,202,0.0,11.04,4.04,collision_intent:173;dga_entry:202;state:177,0.1399999999999999,0.05624999999999991,completed
2,known_visit,DGA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dga_topk100,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,75.51496376142018,75.51496376142018,2,2,2,169,43,162,11,1,1,1,0,0.0,0,406,0,550,1647,0,170,380,343,207,0.0,11.0,4.14,collision_intent:170;dga_entry:207;state:173,0.1399999999999999,0.03703703703703698,completed
3,known_visit,DGA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dga_topk100,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,86.99269384475888,86.99269384475888,3,3,3,195,49,188,11,3,2,2,0,0.0,0,464,0,604,1809,0,198,406,397,207,0.0,12.08,4.14,collision_intent:198;dga_entry:207;state:199,0.10000000000000009,0.03191489361702127,completed
4,known_visit,DGA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dga_topk100,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,79.17134732685271,79.17134732685271,3,3,3,175,44,167,12,3,2,2,0,0.0,0,427,0,545,1629,0,178,367,357,188,0.0,10.9,3.76,collision_intent:178;dga_entry:188;state:179,0.1499999999999999,0.0314371257485031,completed
5,known_visit,DGA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dga_topk100,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,91.11560936875114,91.11560936875114,7,7,7,205,52,185,24,9,1,1,0,0.0,0,487,0,637,1908,0,206,431,415,222,0.0,12.74,4.44,collision_intent:206;dga_entry:222;state:209,0.06000000000000005,0.03648648648648645,completed
6,known_visit,DGA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dga_topk100,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,81.90264014837888,81.90264014837888,6,6,6,182,46,167,19,2,1,1,0,0.0,0,439,0,604,1809,0,184,420,370,234,0.0,12.08,4.68,collision_intent:184;dga_entry:234;state:186,0.07000000000000006,0.03742514970059885,completed
7,known_visit,DGA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dga_topk100,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,96.60716151564819,96.60716151564819,6,6,6,216,55,189,31,6,2,1,1,5.0,1,511,0,688,2061,0,220,468,440,248,0.0,13.76,4.96,collision_intent:220;dga_entry:248;state:220,0.1100000000000001,0.04365079365079372,completed
8,known_visit,DGA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dga_topk100,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,84.0107373851413,84.0107373851413,2,2,2,187,48,181,10,5,6,4,2,10.0,1,459,0,574,1718,0,194,380,385,189,0.0,11.48,3.78,collision_intent:194;dga_entry:189;state:191,0.19999999999999996,0.026243093922651894,completed
9,known_visit,DGA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dga_topk100,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,69.36635184940695,69.36635184940695,0,0,0,153,39,150,7,2,2,2,0,0.0,0,382,0,521,1560,0,157,364,314,207,0.0,10.42,4.14,collision_intent:157;dga_entry:207;state:157,0.08000000000000007,0.040000000000000036,completed
10,known_visit,DGA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dga_topk100,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,71.57918006192756,71.57918006192756,6,6,6,160,41,150,14,7,2,2,0,0.0,0,387,0,561,1680,0,161,400,325,236,0.0,11.22,4.72,collision_intent:161;dga_entry:236;state:164,0.06000000000000005,0.020000000000000018,completed
11,known_visit,DGA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dga_topk100,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,89.56634880296275,89.56634880296275,8,8,8,198,51,177,25,9,1,1,0,0.0,0,484,0,624,1869,0,200,424,402,222,0.0,12.48,4.44,collision_intent:200;dga_entry:222;state:202,0.17999999999999994,0.057909604519774005,completed
12,known_visit,DGA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dga_topk100,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,85.43645697500442,85.43645697500442,8,8,8,192,49,176,20,4,2,2,0,0.0,0,461,0,616,1845,0,195,421,391,225,0.0,12.32,4.5,collision_intent:195;dga_entry:225;state:196,0.1200000000000001,0.03409090909090917,completed
13,known_visit,DGA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dga_topk100,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,88.26218813054342,88.26218813054342,6,6,6,199,50,184,19,7,0,0,0,0.0,0,458,0,571,1710,0,200,371,403,168,0.0,11.42,3.36,collision_intent:200;dga_entry:168;state:203,0.050000000000000044,0.02717391304347827,completed
14,known_visit,DGA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dga_topk100,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,85.01897276048399,85.01897276048399,10,10,10,190,49,177,17,7,5,5,0,0.0,0,465,0,602,1800,0,196,406,390,212,0.0,12.04,4.24,collision_intent:196;dga_entry:212;state:194,0.1299999999999999,0.026836158192090398,completed
15,known_visit,DGA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dga_topk100,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,102.25367663144311,102.25367663144311,11,11,11,229,58,202,31,7,5,5,0,0.0,0,544,0,725,2172,0,240,485,473,252,0.0,14.5,5.04,collision_intent:240;dga_entry:252;state:233,0.19999999999999996,0.044554455445544594,completed
16,known_visit,DGA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dga_topk100,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,87.04860974049429,87.04860974049429,6,6,6,194,49,182,16,7,3,3,0,0.0,0,466,0,637,1908,0,197,440,395,242,0.0,12.74,4.84,collision_intent:197;dga_entry:242;state:198,0.06000000000000005,0.030219780219780112,completed
17,known_visit,DGA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dga_topk100,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,85.97368318402081,85.97368318402081,3,3,3,193,49,178,19,3,1,1,0,0.0,0,456,0,629,1884,0,194,435,391,238,0.0,12.58,4.76,collision_intent:194;dga_entry:238;state:197,0.06000000000000005,0.02528089887640439,completed
