trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,trial_status
0,known_visit,DMCHBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dmchba_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,77.61690634050586,77.61690634050586,1,1,1,169,44,170,3,0,0,0,0,0.0,0,415,0,346,1035,0,173,173,346,0,0.0,6.92,0.0,collision_intent:173;state:173,0.1399999999999999,0.0235294117647058,completed
1,known_visit,DMCHBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dmchba_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,78.04403201207695,78.04403201207695,2,2,2,168,44,168,4,0,0,0,0,0.0,0,425,0,342,1023,0,170,172,342,0,0.0,6.84,0.0,collision_intent:170;state:172,0.06000000000000005,0.023809523809523725,completed
2,known_visit,DMCHBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dmchba_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,84.53874983559766,84.53874983559766,5,5,5,174,48,161,17,0,0,0,0,0.0,0,468,0,356,1065,0,178,178,356,0,0.0,7.12,0.0,collision_intent:178;state:178,0.06000000000000005,0.079192546583851,completed
3,known_visit,DMCHBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dmchba_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,91.88454061277307,91.88454061277307,5,5,5,201,53,189,16,1,4,4,0,0.0,0,489,0,410,1227,0,205,205,410,0,0.0,8.2,0.0,collision_intent:205;state:205,0.06000000000000005,0.03571428571428581,completed
4,known_visit,DMCHBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dmchba_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,79.77834185505466,79.77834185505466,1,1,1,169,45,169,4,0,0,0,0,0.0,0,439,0,344,1029,0,171,173,344,0,0.0,6.88,0.0,collision_intent:171;state:173,0.07000000000000006,0.031065088757396442,completed
5,known_visit,DMCHBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dmchba_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,69.26641958288812,69.26641958288812,2,2,2,150,38,147,7,0,0,0,0,0.0,0,378,0,307,918,0,153,154,307,0,0.0,6.14,0.0,collision_intent:153;state:154,0.08000000000000007,0.022108843537415046,completed
6,known_visit,DMCHBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dmchba_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,75.8887122820386,75.8887122820386,2,2,2,166,43,163,7,0,0,0,0,0.0,0,414,0,339,1014,0,169,170,339,0,0.0,6.78,0.0,collision_intent:169;state:170,0.06000000000000005,0.019938650306748462,completed
7,known_visit,DMCHBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dmchba_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,91.6341142190337,91.6341142190337,3,3,3,176,52,170,10,0,0,0,0,0.0,0,514,0,360,1077,0,180,180,360,0,0.0,7.2,0.0,collision_intent:180;state:180,0.030000000000000027,0.0235294117647058,completed
8,known_visit,DMCHBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dmchba_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,105.21169665057255,105.21169665057255,3,3,3,208,60,197,15,0,2,2,0,0.0,0,595,0,426,1275,0,214,212,426,0,0.0,8.52,0.0,collision_intent:214;state:212,0.050000000000000044,0.05710659898477166,completed
9,known_visit,DMCHBA,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_dmchba_topk025,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,88.88479444451768,88.88479444451768,4,4,4,192,50,185,11,1,2,2,0,0.0,0,475,0,392,1173,0,196,196,392,0,0.0,7.84,0.0,collision_intent:196;state:196,0.1200000000000001,0.02837837837837842,completed
