trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,trial_status
0,known_visit,PI,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_pi_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,92.21036826775615,92.21036826775615,6,6,6,172,54,159,17,9,4,4,0,0.0,0,531,0,556,1665,0,180,376,356,200,0.0,11.12,4.0,collision_intent:180;pi_clear_path:4;pi_entry:196;state:176,0.1399999999999999,0.10220125786163514,completed
1,known_visit,PI,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_pi_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,113.89939587263069,113.89939587263069,4,4,4,207,63,196,15,6,5,4,1,5.0,1,670,0,606,1815,0,216,390,427,179,0.0,12.12,3.58,collision_intent:216;pi_clear_path:3;pi_entry:176;state:211,0.050000000000000044,0.08928571428571419,completed
2,known_visit,PI,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_pi_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,77.04809826512047,77.04809826512047,2,2,2,155,44,151,8,4,0,0,0,0.0,0,433,0,489,1464,0,158,331,317,172,0.0,9.78,3.44,collision_intent:158;pi_clear_path:3;pi_entry:169;state:159,0.09000000000000008,0.041390728476821126,completed
3,known_visit,PI,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_pi_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,120.12661848909927,120.12661848909927,5,5,5,199,68,189,14,2,0,0,0,0.0,0,716,0,558,1671,0,202,356,405,153,0.0,11.16,3.06,collision_intent:202;pi_clear_path:3;pi_entry:150;state:203,0.06000000000000005,0.09656084656084651,completed
4,known_visit,PI,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_pi_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,105.69824778294583,105.69824778294583,8,8,8,216,57,199,21,3,4,4,0,0.0,0,585,0,648,1938,0,225,423,445,203,0.0,12.96,4.06,collision_intent:225;pi_clear_path:10;pi_entry:193;state:220,0.06000000000000005,0.028894472361808976,completed
5,known_visit,PI,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_pi_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,101.53577249278842,101.53577249278842,1,1,1,175,57,167,12,4,2,2,0,0.0,0,599,0,538,1611,0,182,356,361,177,0.0,10.76,3.54,collision_intent:182;pi_clear_path:4;pi_entry:173;state:179,0.1499999999999999,0.08532934131736525,completed
6,known_visit,PI,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_pi_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,98.40414525320769,98.40414525320769,6,6,6,187,55,174,17,5,0,0,0,0.0,0,562,0,569,1704,0,191,378,382,187,0.0,11.38,3.74,collision_intent:191;pi_clear_path:3;pi_entry:184;state:191,0.1499999999999999,0.0862068965517242,completed
7,known_visit,PI,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_pi_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,82.41164656749176,82.41164656749176,1,1,1,168,47,164,8,4,1,1,0,0.0,0,463,0,517,1548,0,171,346,343,174,0.0,10.34,3.48,collision_intent:171;pi_clear_path:2;pi_entry:172;state:172,0.08000000000000007,0.054878048780487854,completed
8,known_visit,PI,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_pi_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,99.4327301785024,99.4327301785024,1,1,1,189,56,187,6,7,2,2,0,0.0,0,572,0,562,1683,0,195,367,388,174,0.0,11.24,3.48,collision_intent:195;pi_clear_path:3;pi_entry:171;state:193,0.08000000000000007,0.08689839572192515,completed
9,known_visit,PI,ideal,1.0,19,361,4,50,multitarget_g19_r4_t50_pi_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\known_targets_g19_t50_n50.csv,50,True,106.2930883742416,106.2930883742416,8,8,8,194,59,177,21,8,1,1,0,0.0,0,620,0,590,1767,0,199,391,397,193,0.0,11.8,3.86,collision_intent:199;pi_clear_path:2;pi_entry:191;state:198,0.15999999999999992,0.11440677966101687,completed
