trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
0,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,ACBBA,ideal,1.0,19,361,8,0.1,36,45.125,45.125,scale_g19_r8_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,117,104,13,125,0,0,0,0,341,2382,0,119,222,244,97,133,97,0.0,2.728,10.23076923076923,0.8290598290598291,7.461538461538462,0.776,acbba_entry:97;clue:8;collision_intent:118;state:117;target:1,15,48,0.014999999999999902,completed
1,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,ACBBA,ideal,1.0,19,361,8,0.1,36,45.125,45.125,scale_g19_r8_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,235,29,206,181,62,14,8,6,3499,24483,0,245,3254,488,3011,3439,3011,0.0,19.331491712707184,16.694174757281555,12.812765957446809,14.616504854368932,16.635359116022098,acbba_entry:3011;clue:8;collision_intent:244;state:235;target:1,30,460,0.1388121546961325,completed
2,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,ACBBA,ideal,1.0,19,361,8,0.1,36,45.125,45.125,scale_g19_r8_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,78,16,62,71,15,14,2,2,1124,7859,0,82,1042,176,948,1092,948,0.0,15.830985915492958,17.612903225806452,12.153846153846153,15.290322580645162,13.352112676056338,acbba_entry:948;clue:16;collision_intent:81;state:78;target:1,10,162,0.079225352112676,completed
3,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,ACBBA,ideal,1.0,19,361,8,0.1,36,45.125,45.125,scale_g19_r8_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,223,102,121,217,14,11,0,0,2194,15350,0,226,1968,465,1729,1989,1729,0.0,10.110599078341014,16.43801652892562,7.753363228699552,14.289256198347108,7.967741935483871,acbba_entry:1729;clue:16;collision_intent:225;state:223;target:1,28,292,0.033986175115207296,completed
4,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,ACBBA,ideal,1.0,19,361,8,0.1,36,45.125,45.125,scale_g19_r8_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,248,145,103,225,31,12,5,5,1978,13839,0,254,1724,510,1468,1685,1468,0.0,8.79111111111111,16.359223300970875,5.919354838709677,14.25242718446602,6.524444444444445,acbba_entry:1468;clue:8;collision_intent:253;state:248;target:1,32,266,0.06944444444444442,completed
5,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,ACBBA,ideal,1.0,19,361,8,0.1,36,45.125,45.125,scale_g19_r8_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,225,59,166,208,25,16,5,4,3329,23298,0,231,3098,488,2841,3211,2841,0.0,16.004807692307693,19.343373493975903,12.626666666666667,17.1144578313253,13.658653846153847,acbba_entry:2841;clue:32;collision_intent:230;state:225;target:1,29,433,0.046875,completed
6,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,ACBBA,ideal,1.0,19,361,8,0.1,36,45.125,45.125,scale_g19_r8_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,405,114,291,327,86,12,11,8,5268,36870,0,417,4851,854,4414,5040,4414,0.0,16.110091743119266,17.31958762886598,10.898765432098765,15.168384879725085,13.498470948012232,acbba_entry:4414;clue:32;collision_intent:416;state:405;target:1,53,676,0.05237003058103973,completed
7,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,ACBBA,ideal,1.0,19,361,8,0.1,36,45.125,45.125,scale_g19_r8_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,174,61,113,165,17,5,4,4,2136,14949,0,181,1955,371,1765,2012,1765,0.0,12.945454545454545,17.805309734513273,10.14367816091954,15.619469026548673,10.696969696969697,acbba_entry:1765;clue:16;collision_intent:180;state:174;target:1,22,275,0.07499999999999996,completed
8,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,ACBBA,ideal,1.0,19,361,8,0.1,36,45.125,45.125,scale_g19_r8_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,452,97,355,334,126,42,4,3,5747,40215,0,458,5289,934,4813,5553,4813,0.0,17.206586826347305,15.64225352112676,10.648230088495575,13.55774647887324,14.410179640718562,acbba_entry:4813;clue:24;collision_intent:457;state:452;target:1,58,735,0.0793413173652695,completed
9,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,ACBBA,ideal,1.0,19,361,8,0.1,36,45.125,45.125,scale_g19_r8_acbba_topk010,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,169,100,69,173,4,12,2,2,1142,7986,0,173,969,358,784,942,784,0.0,6.601156069364162,13.652173913043478,4.6390532544378695,11.36231884057971,4.531791907514451,acbba_entry:784;clue:16;collision_intent:172;state:169;target:1,22,152,0.022398843930635737,completed
