trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
0,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DGA,ideal,1.0,19,361,8,0.05,18,45.125,45.125,scale_g19_r8_dga_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,180,104,76,179,9,20,1,1,1102,7704,0,185,917,381,721,894,721,0.0,6.156424581005586,11.763157894736842,4.0055555555555555,9.486842105263158,4.027932960893855,clue:16;collision_intent:184;dga_entry:721;state:180;target:1,23,159,0.0328212290502794,completed
1,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DGA,ideal,1.0,19,361,8,0.05,18,45.125,45.125,scale_g19_r8_dga_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,213,29,184,160,61,35,5,3,1463,10237,0,221,1242,442,1021,1403,1021,0.0,9.14375,7.625,4.793427230046948,5.548913043478261,6.38125,clue:8;collision_intent:220;dga_entry:1021;state:213;target:1,28,263,0.125,completed
2,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DGA,ideal,1.0,19,361,8,0.05,18,45.125,45.125,scale_g19_r8_dga_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,27,16,11,35,0,3,0,0,320,2231,0,31,289,74,246,288,246,0.0,9.142857142857142,26.181818181818183,9.11111111111111,22.363636363636363,7.0285714285714285,clue:16;collision_intent:30;dga_entry:246;state:27;target:1,4,46,0.0535714285714286,completed
3,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DGA,ideal,1.0,19,361,8,0.05,18,45.125,45.125,scale_g19_r8_dga_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,254,102,152,216,46,27,5,5,1481,10360,0,262,1219,540,941,1276,941,0.0,6.856481481481482,8.394736842105264,3.704724409448819,6.190789473684211,4.356481481481482,clue:24;collision_intent:261;dga_entry:941;state:254;target:1,32,244,0.03240740740740744,completed
4,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DGA,ideal,1.0,19,361,8,0.05,18,45.125,45.125,scale_g19_r8_dga_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,218,145,73,220,6,19,1,1,1284,8982,0,224,1060,450,834,991,834,0.0,5.836363636363636,13.575342465753424,3.8256880733944953,11.424657534246576,3.790909090909091,clue:8;collision_intent:223;dga_entry:834;state:218;target:1,28,227,0.027272727272727337,completed
5,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DGA,ideal,1.0,19,361,8,0.05,18,45.125,45.125,scale_g19_r8_dga_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,336,59,277,255,89,30,9,7,1785,12490,0,350,1435,718,1067,1667,1067,0.0,7.0,6.018050541516246,3.175595238095238,3.851985559566787,4.184313725490196,clue:32;collision_intent:349;dga_entry:1067;state:336;target:1,44,281,0.09950980392156872,completed
6,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DGA,ideal,1.0,19,361,8,0.05,18,45.125,45.125,scale_g19_r8_dga_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,461,114,347,320,149,47,18,15,2455,17178,0,487,1968,972,1483,2227,1483,0.0,7.671875,6.417867435158501,3.2169197396963125,4.273775216138328,4.634375,clue:24;collision_intent:486;dga_entry:1483;state:461;target:1,60,356,0.10234374999999996,completed
7,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DGA,ideal,1.0,19,361,8,0.05,18,45.125,45.125,scale_g19_r8_dga_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,277,61,216,219,66,34,7,7,1457,10183,0,286,1171,587,870,1333,870,0.0,6.65296803652968,6.171296296296297,3.1407942238267146,4.027777777777778,3.9726027397260273,clue:24;collision_intent:285;dga_entry:870;state:277;target:1,36,216,0.11130136986301364,completed
8,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DGA,ideal,1.0,19,361,8,0.05,18,45.125,45.125,scale_g19_r8_dga_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,525,97,428,342,191,67,17,16,2727,19084,0,548,2179,1097,1630,2533,1630,0.0,7.973684210526316,5.918224299065421,3.104761904761905,3.808411214953271,4.766081871345029,clue:24;collision_intent:547;dga_entry:1630;state:525;target:1,67,407,0.0891812865497077,completed
9,dcta_parity_v1,custom,5789862b56c579a63f65129a7c7ce0c99a25e7c55fba998a5a9699fc4a7df60b,03f32103aba060045f2661de3c031f6fbcbc73f46000a9666f166ad349c5805d,DGA,ideal,1.0,19,361,8,0.05,18,45.125,45.125,scale_g19_r8_dga_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g19_n50.csv,clue_search,152,100,52,157,3,18,0,0,972,6795,0,157,815,325,647,772,647,0.0,6.191082802547771,14.846153846153847,4.256578947368421,12.442307692307692,4.1210191082802545,clue:16;collision_intent:156;dga_entry:647;state:152;target:1,20,169,0.031050955414012815,completed
