trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
0,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_cbaa_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,235,222,13,236,3,1,0,0,506,1515,0,236,270,475,31,61,31,0.0,2.1440677966101696,4.6923076923076925,0.13191489361702127,2.3846153846153846,0.13135593220338984,cbaa_entry:31;clue:4;collision_intent:235;state:235;target:1,59,129,0.008474576271186418,completed
1,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_cbaa_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,171,79,92,169,6,3,3,2,777,2329,0,176,601,355,422,619,422,0.0,4.597633136094674,6.728260869565218,2.4678362573099415,4.586956521739131,2.497041420118343,cbaa_entry:422;clue:8;collision_intent:175;state:171;target:1,44,202,0.028106508875739733,completed
2,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_cbaa_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,177,177,0,181,0,0,0,0,355,1060,0,178,177,355,0,0,0,0.0,1.9613259668508287,0.0,0.0,0.0,0.0,collision_intent:177;state:177;target:1,45,91,0.004143646408839796,completed
3,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_cbaa_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,241,192,49,241,4,4,0,0,684,2048,0,242,442,487,197,300,197,0.0,2.8381742738589213,6.122448979591836,0.8174273858921162,4.020408163265306,0.8174273858921162,cbaa_entry:197;clue:4;collision_intent:241;state:241;target:1,61,174,0.009336099585062207,completed
4,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_cbaa_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,236,168,68,233,7,5,0,0,812,2434,0,239,573,479,333,476,333,0.0,3.484978540772532,7.0,1.4110169491525424,4.897058823529412,1.4291845493562232,cbaa_entry:333;clue:4;collision_intent:238;state:236;target:1,60,207,0.00965665236051505,completed
5,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_cbaa_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,919,2,917,725,198,21,14,14,6001,18002,0,934,5067,1865,4136,5995,4136,0.0,8.277241379310345,6.53762268266085,4.500544069640914,4.510359869138495,5.704827586206896,cbaa_entry:4136;clue:12;collision_intent:933;state:919;target:1,233,1568,0.030000000000000027,completed
6,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_cbaa_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,136,136,0,140,0,0,0,0,273,816,0,137,136,273,0,0,0,0.0,1.95,0.0,0.0,0.0,0.0,collision_intent:136;state:136;target:1,34,69,0.0,completed
7,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_cbaa_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,507,105,402,487,24,11,9,8,3011,9030,0,517,2494,1032,1979,2801,1979,0.0,6.1827515400410675,6.967661691542289,3.903353057199211,4.922885572139304,4.063655030800821,cbaa_entry:1979;clue:8;collision_intent:516;state:507;target:1,128,772,0.012833675564681624,completed
8,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_cbaa_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,38,38,0,42,0,0,0,0,77,226,0,39,38,77,0,0,0,0.0,1.8333333333333333,0.0,0.0,0.0,0.0,collision_intent:38;state:38;target:1,10,21,0.023809523809523725,completed
9,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_cbaa_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,172,122,50,170,6,2,0,0,565,1694,0,173,392,353,212,320,212,0.0,3.323529411764706,6.4,1.2325581395348837,4.24,1.2470588235294118,cbaa_entry:212;clue:8;collision_intent:172;state:172;target:1,44,144,0.014705882352941124,completed
10,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_cbaa_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,435,57,378,414,25,19,8,5,2714,8138,0,445,2269,892,1822,2599,1822,0.0,6.555555555555555,6.875661375661376,4.188505747126436,4.8201058201058204,4.400966183574879,cbaa_entry:1822;clue:12;collision_intent:444;state:435;target:1,109,689,0.02657004830917864,completed
11,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_cbaa_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,612,2,610,528,88,21,17,13,4220,12656,0,631,3589,1251,2969,4214,2969,0.0,7.992424242424242,6.908196721311476,4.851307189542483,4.867213114754098,5.6231060606060606,cbaa_entry:2969;clue:8;collision_intent:630;state:612;target:1,154,1071,0.04166666666666674,completed
12,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_cbaa_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,208,208,0,212,0,0,0,0,417,1248,0,209,208,417,0,0,0,0.0,1.9669811320754718,0.0,0.0,0.0,0.0,collision_intent:208;state:208;target:1,52,105,0.0,completed
13,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_cbaa_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,850,277,573,722,132,21,18,14,4491,13471,0,869,3622,1731,2760,3937,2760,0.0,6.2202216066482,6.870855148342059,3.2470588235294118,4.816753926701571,3.822714681440443,cbaa_entry:2760;clue:12;collision_intent:868;state:850;target:1,214,1142,0.03670360110803328,completed
14,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_cbaa_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,100,82,18,104,0,3,0,0,255,760,0,101,154,205,50,90,50,0.0,2.451923076923077,5.0,0.5,2.7777777777777777,0.4807692307692308,cbaa_entry:50;clue:4;collision_intent:100;state:100;target:1,25,65,0.0,completed
15,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_cbaa_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,229,164,65,229,4,3,0,0,752,2254,0,230,522,463,289,424,289,0.0,3.2838427947598254,6.523076923076923,1.262008733624454,4.446153846153846,1.262008733624454,cbaa_entry:289;clue:4;collision_intent:229;state:229;target:1,58,190,0.007641921397379958,completed
16,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_cbaa_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,373,95,278,351,26,11,6,4,2084,6249,0,380,1704,765,1319,1893,1319,0.0,5.937321937321937,6.809352517985611,3.5361930294906165,4.744604316546763,3.757834757834758,cbaa_entry:1319;clue:12;collision_intent:379;state:373;target:1,96,530,0.02777777777777768,completed
17,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_cbaa_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,323,275,48,324,3,1,0,0,861,2583,0,325,536,652,209,311,209,0.0,2.6574074074074074,6.479166666666667,0.6470588235294118,4.354166666666667,0.6450617283950617,cbaa_entry:209;clue:4;collision_intent:324;state:323;target:1,81,218,0.004629629629629539,completed
18,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_cbaa_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,111,104,7,115,0,0,0,0,250,748,0,112,138,227,23,42,23,0.0,2.1739130434782608,6.0,0.2072072072072072,3.2857142857142856,0.2,cbaa_entry:23;clue:4;collision_intent:111;state:111;target:1,28,65,0.006521739130434856,completed
19,dcta_parity_v1,custom,ae14bee1828d1c0dcb7b43653aba724543f73a298e3ecda5443cfe335ed0f6b2,6bdd9a364b88f43408248d2c3ec330144acbe295f246a95740198128e5f5dcfc,CBAA,ideal,1.0,28,784,4,0.05,39,196.0,196.0,scale_g28_r4_cbaa_topk005,C:\Users\lottj\Desktop\research\decentralized benchmark\topk_filter_study\results\sensitivity_suite\scenarios\clue_g28_n50.csv,clue_search,453,161,292,413,44,6,6,5,2351,7052,0,460,1891,921,1430,2028,1430,0.0,5.6924939467312345,6.945205479452055,3.1567328918322297,4.897260273972603,3.4624697336561745,cbaa_entry:1430;clue:8;collision_intent:459;state:453;target:1,114,594,0.040556900726392175,completed
