suite,environment,pair_key,grid_size,robot_count,algorithm,top_k_rate,top_k_max_cells,top_k_basis,comm_model,comm_level,paired_trials,max_steps_mean,max_steps_median,max_steps_mean_ci95_low,max_steps_mean_ci95_high,total_step_degradation_mean,total_step_degradation_median,total_step_degradation_mean_ci95_low,total_step_degradation_mean_ci95_high,total_step_degradation_pct_mean,total_step_degradation_pct_median,total_step_degradation_pct_mean_ci95_low,total_step_degradation_pct_mean_ci95_high
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,ACBBA,0.05,3,initial_targets,ideal,,100,46.84,46.0,45.67,48.08,3.73,2.0,0.19,7.300249999999998,2.9334960634296667,1.2740921079326435,0.814427380861415,5.192086565667539
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,ACBBA,0.1,5,initial_targets,ideal,,100,45.41,44.0,44.35975,46.46025,1.16,-1.0,-2.0005,4.33,1.2251850262609778,-0.662716699583059,-0.7674175585482607,3.208013188257075
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,ACBBA,0.25,13,initial_targets,ideal,,100,45.33,45.0,44.31,46.380250000000004,0.3,0.0,-1.19025,1.6802499999999985,0.31348049584790855,0.0,-0.5988368648322591,1.179986106561674
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,ACBBA,0.5,25,initial_targets,ideal,,100,45.37,44.0,44.29,46.380250000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,ACBBA,0.75,38,initial_targets,ideal,,100,45.37,44.0,44.31975,46.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,ACBBA,1,50,initial_targets,ideal,,100,45.37,44.0,44.34,46.450250000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.05,3,initial_targets,ideal,,100,44.28,44.0,43.30975,45.33025,-0.32,0.0,-0.66,0.07,-0.17634482669775772,0.0,-0.3963219988049627,0.06496693987856741
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.1,5,initial_targets,ideal,,100,44.24,44.0,43.3,45.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.25,13,initial_targets,ideal,,100,44.24,44.0,43.28,45.25025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.5,25,initial_targets,ideal,,100,44.24,44.0,43.25975,45.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,0.75,38,initial_targets,ideal,,100,44.24,44.0,43.26975,45.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multitarget,multitarget_g19_r4_t50,known_targets_g19_t50,19,4,CBAA,1,50,initial_targets,ideal,,100,44.24,44.0,43.27975,45.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
