trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
0,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,402,90,312,315,91,10,6,6,2325,6971,0,409,1916,823,1502,2145,1502,0.0,7.380952380952381,6.875,3.736318407960199,4.814102564102564,4.768253968253968,cbaa_entry:1502;clue:12;collision_intent:408;state:402;target:1,101,602,0.030952380952380842,completed
1,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,91,53,38,94,1,2,1,1,354,1058,0,95,259,190,164,248,164,0.0,3.765957446808511,6.526315789473684,1.8021978021978022,4.315789473684211,1.7446808510638299,cbaa_entry:164;clue:4;collision_intent:94;state:91;target:1,24,92,0.015957446808510634,completed
2,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,171,98,73,159,16,1,0,0,698,2093,0,173,525,348,350,502,350,0.0,4.389937106918239,6.876712328767123,2.046783625730994,4.794520547945205,2.20125786163522,cbaa_entry:350;clue:4;collision_intent:172;state:171;target:1,43,177,0.045597484276729494,completed
3,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,186,67,119,176,14,4,3,3,987,2959,0,190,797,392,595,852,595,0.0,5.607954545454546,7.159663865546219,3.1989247311827955,5.0,3.3806818181818183,cbaa_entry:595;clue:16;collision_intent:189;state:186;target:1,47,253,0.019886363636363535,completed
4,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,38,24,14,42,0,2,0,0,137,406,0,40,97,82,55,89,55,0.0,3.261904761904762,6.357142857142857,1.4473684210526316,3.9285714285714284,1.3095238095238095,cbaa_entry:55;clue:4;collision_intent:39;state:38;target:1,10,38,0.023809523809523725,completed
5,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,346,122,224,305,45,7,5,4,1845,5532,0,353,1492,715,1130,1601,1130,0.0,6.049180327868853,7.147321428571429,3.2658959537572256,5.044642857142857,3.7049180327868854,cbaa_entry:1130;clue:16;collision_intent:352;state:346;target:1,88,475,0.041803278688524514,completed
6,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,67,21,46,70,1,1,2,1,354,1058,0,71,283,142,212,312,212,0.0,5.057142857142857,6.782608695652174,3.1641791044776117,4.608695652173913,3.0285714285714285,cbaa_entry:212;clue:4;collision_intent:70;state:67;target:1,17,91,0.014285714285714235,completed
7,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,48,5,43,47,5,6,2,2,298,891,0,52,246,108,190,287,190,0.0,6.340425531914893,6.674418604651163,3.9583333333333335,4.4186046511627906,4.042553191489362,cbaa_entry:190;clue:8;collision_intent:51;state:48;target:1,12,80,0.0585106382978724,completed
8,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,476,34,442,349,131,14,11,9,3133,9392,0,491,2642,983,2150,3065,2150,0.0,8.977077363896848,6.9343891402714934,4.516806722689076,4.864253393665158,6.160458452722063,cbaa_entry:2150;clue:16;collision_intent:490;state:476;target:1,121,810,0.08954154727793706,completed
9,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,12,0,12,16,0,0,0,0,76,226,0,13,63,29,47,76,47,0.0,4.75,6.333333333333333,3.9166666666666665,3.9166666666666665,2.9375,cbaa_entry:47;clue:4;collision_intent:12;state:12;target:1,3,21,0.0,completed
10,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,281,29,252,254,31,3,7,7,1828,5482,0,289,1539,582,1246,1770,1246,0.0,7.196850393700787,7.023809523809524,4.434163701067615,4.944444444444445,4.905511811023622,cbaa_entry:1246;clue:12;collision_intent:288;state:281;target:1,71,461,0.021653543307086576,completed
11,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,199,82,117,194,9,0,0,0,993,2975,0,200,793,403,590,828,590,0.0,5.118556701030927,7.076923076923077,2.9648241206030153,5.042735042735043,3.0412371134020617,cbaa_entry:590;clue:4;collision_intent:199;state:199;target:1,50,255,0.005154639175257714,completed
12,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,149,137,12,152,1,1,0,0,351,1050,0,152,199,305,46,77,46,0.0,2.3092105263157894,6.416666666666667,0.3087248322147651,3.8333333333333335,0.3026315789473684,cbaa_entry:46;clue:4;collision_intent:151;state:149;target:1,38,90,0.009868421052631637,completed
13,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,83,7,76,75,12,1,0,0,520,1558,0,84,436,175,345,505,345,0.0,6.933333333333334,6.644736842105263,4.156626506024097,4.5394736842105265,4.6,cbaa_entry:345;clue:8;collision_intent:83;state:83;target:1,21,140,0.08333333333333326,completed
14,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,146,94,52,137,13,5,6,4,539,1615,0,153,386,311,228,351,228,0.0,3.934306569343066,6.75,1.5616438356164384,4.384615384615385,1.6642335766423357,cbaa_entry:228;clue:12;collision_intent:152;state:146;target:1,37,137,0.031021897810219023,completed
15,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,38,29,9,42,0,0,0,0,112,332,0,39,73,81,31,54,31,0.0,2.6666666666666665,6.0,0.8157894736842105,3.4444444444444446,0.7380952380952381,cbaa_entry:31;clue:4;collision_intent:38;state:38;target:1,10,31,0.023809523809523725,completed
16,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,310,41,269,285,29,2,7,4,2013,6038,0,318,1695,640,1373,1931,1373,0.0,7.063157894736842,7.178438661710037,4.429032258064516,5.104089219330855,4.817543859649123,cbaa_entry:1373;clue:12;collision_intent:317;state:310;target:1,78,518,0.03421052631578947,completed
17,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,64,11,53,60,8,1,0,0,370,1107,0,65,305,137,233,348,233,0.0,6.166666666666667,6.566037735849057,3.640625,4.39622641509434,3.8833333333333333,cbaa_entry:233;clue:8;collision_intent:64;state:64;target:1,16,96,0.07499999999999996,completed
18,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,412,49,363,337,79,13,9,9,2653,7956,0,422,2231,850,1803,2555,1803,0.0,7.87240356083086,7.038567493112947,4.37621359223301,4.966942148760331,5.350148367952523,cbaa_entry:1803;clue:16;collision_intent:421;state:412;target:1,103,682,0.0556379821958457,completed
19,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,79,22,57,76,7,1,1,1,423,1265,0,81,342,172,251,379,251,0.0,5.565789473684211,6.649122807017544,3.1772151898734178,4.4035087719298245,3.3026315789473686,cbaa_entry:251;clue:12;collision_intent:80;state:79;target:1,20,109,0.019736842105263053,completed
20,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,40,40,0,44,0,0,0,0,81,239,0,41,40,81,0,0,0,0.0,1.8409090909090908,0.0,0.0,0.0,0.0,collision_intent:40;state:40;target:1,10,21,0.0,completed
21,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,68,4,64,66,6,3,0,0,459,1373,0,70,389,146,313,451,313,0.0,6.954545454545454,7.046875,4.602941176470588,4.890625,4.742424242424242,cbaa_entry:313;clue:8;collision_intent:69;state:68;target:1,17,120,0.037878787878787845,completed
22,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,210,5,205,202,12,8,4,3,1498,4493,0,215,1283,437,1061,1487,1061,0.0,7.415841584158416,7.253658536585366,5.052380952380952,5.175609756097561,5.252475247524752,cbaa_entry:1061;clue:12;collision_intent:214;state:210;target:1,53,379,0.024752475247524774,completed
23,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.25,90,,,cbaa_topk_25,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,50,20,30,52,2,0,0,0,236,706,0,51,185,105,131,196,131,0.0,4.538461538461538,6.533333333333333,2.62,4.366666666666666,2.519230769230769,cbaa_entry:131;clue:4;collision_intent:50;state:50;target:1,13,63,0.028846153846153744,completed
