trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
0,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.1,36,,,dmchba_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,406,90,316,345,65,0,0,0,829,2483,0,407,422,829,0,649,0,0.0,2.402898550724638,2.0537974683544302,0.0,0.0,0.0,clue:16;collision_intent:406;state:406;target:1,103,211,0.035507246376811574,completed
1,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.1,36,,,dmchba_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,95,53,42,97,2,0,0,0,195,581,0,96,99,195,0,89,0,0.0,2.0103092783505154,2.119047619047619,0.0,0.0,0.0,clue:4;collision_intent:95;state:95;target:1,24,50,0.018041237113401998,completed
2,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.1,36,,,dmchba_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,185,98,87,165,24,0,1,1,380,1136,0,187,193,380,0,184,0,0.0,2.303030303030303,2.1149425287356323,0.0,0.0,0.0,clue:8;collision_intent:186;state:185;target:1,47,97,0.025757575757575868,completed
3,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.1,36,,,dmchba_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,298,67,231,256,46,0,0,0,613,1835,0,299,314,613,0,478,0,0.0,2.39453125,2.069264069264069,0.0,0.0,0.0,clue:16;collision_intent:298;state:298;target:1,75,155,0.041015625,completed
4,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.1,36,,,dmchba_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,39,24,15,43,0,0,0,0,83,246,0,40,43,83,0,35,0,0.0,1.930232558139535,2.3333333333333335,0.0,0.0,0.0,clue:4;collision_intent:39;state:39;target:1,10,22,0.01744186046511631,completed
5,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.1,36,,,dmchba_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,303,122,181,276,31,0,0,0,623,1865,0,304,319,623,0,379,0,0.0,2.2572463768115942,2.0939226519337018,0.0,0.0,0.0,clue:16;collision_intent:303;state:303;target:1,77,158,0.04166666666666674,completed
6,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.1,36,,,dmchba_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,105,21,84,99,10,0,1,1,216,646,0,107,109,216,0,174,0,0.0,2.1818181818181817,2.0714285714285716,0.0,0.0,0.0,clue:4;collision_intent:106;state:105;target:1,27,56,0.04292929292929304,completed
7,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.1,36,,,dmchba_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,24,5,19,28,0,0,0,0,57,166,0,25,32,57,0,46,0,0.0,2.0357142857142856,2.4210526315789473,0.0,0.0,0.0,clue:8;collision_intent:24;state:24;target:1,6,15,0.0,completed
8,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.1,36,,,dmchba_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,195,34,161,178,21,0,1,1,404,1209,0,197,207,404,0,336,0,0.0,2.269662921348315,2.0869565217391304,0.0,0.0,0.0,clue:12;collision_intent:196;state:195;target:1,50,103,0.022471910112359605,completed
9,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,19,361,4,0.1,36,,,dmchba_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,12,0,12,16,0,0,0,0,29,81,0,13,16,29,0,29,0,0.0,1.8125,2.4166666666666665,0.0,0.0,0.0,clue:4;collision_intent:12;state:12;target:1,3,8,0.0,completed
