trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
13,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,1.0,361,,,cbaa_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,6,17,"(4,8);(8,6);(2,16);(0,16)",03,0,16,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(4,13);01:(2,11);02:(5,13);03:(6,17)",00:0;01:0;02:0;03:2,03,completed
49,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,1.0,361,,,cbaa_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,5,16,"(8,11);(11,14);(0,7);(5,15)",01,0,7,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(9,2);01:(11,3);02:(11,10);03:(5,16)",00:0;01:1;02:0;03:2,03,completed
85,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,1.0,361,,,cbaa_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,5,11,"(6,12);(9,13);(9,11);(10,17)",02,6,12,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(6,4);01:(5,11);02:(7,13);03:(5,13)",00:0;01:0;02:1;03:0,01,completed
121,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,1.0,361,,,cbaa_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,10,12,"(14,11);(9,8);(7,16);(14,12)",,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(9,0);01:(8,7);02:(10,12);03:(6,15)",00:0;01:0;02:0;03:0,02,completed
157,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,1.0,361,,,cbaa_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,1,16,"(1,15);(6,10);(0,12);(8,14)",02,0,12,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(1,3);01:(3,4);02:(1,16);03:(4,5)",00:0;01:0;02:2;03:0,02,completed
193,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,1.0,361,,,cbaa_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,11,10,"(10,14);(6,16);(12,10);(18,3)",03,6,16,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(1,9);01:(11,10);02:(2,10);03:(13,10)",00:0;01:1;02:0;03:1,01,completed
229,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,1.0,361,,,cbaa_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,12,2,"(4,13);(15,7);(18,7);(11,14)",01,15,7,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(12,2);01:(6,16);02:(2,2);03:(4,11)",00:0;01:2;02:0;03:0,00,completed
265,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,1.0,361,,,cbaa_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,6,1,"(13,11);(9,16);(2,10);(18,0)",00,18,0,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(6,1);01:(9,2);02:(10,3);03:(16,16)",00:1;01:0;02:0;03:0,00,completed
301,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,1.0,361,,,cbaa_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,11,7,"(13,16);(12,14);(16,6);(12,6)",,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(12,0);01:(11,7);02:(12,12);03:(9,15)",00:0;01:0;02:0;03:0,01,completed
337,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,1.0,361,,,cbaa_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,18,18,"(7,7);(11,18);(18,10);(1,5)",01,7,7,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,18);01:(17,16);02:(17,12);03:(15,16)",00:0;01:1;02:1;03:1,00,completed
373,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,1.0,361,,,cbaa_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,3,10,"(14,0);(6,6);(1,3);(16,7)",00,14,0,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(8,12);01:(6,11);02:(7,14);03:(3,10)",00:2;01:1;02:1;03:0,03,completed
409,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,1.0,361,,,cbaa_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,6,11,"(3,13);(6,7);(1,2);(9,14)",01,6,7,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(6,5);01:(6,8);02:(5,8);03:(6,11)",00:0;01:1;02:0;03:0,03,completed
445,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,1.0,361,,,cbaa_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,17,7,"(14,8);(13,17);(16,14);(17,4)",,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,0);01:(17,7);02:(18,12);03:(14,15)",00:0;01:0;02:0;03:0,01,completed
481,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,1.0,361,,,cbaa_topk_100,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,10,12,"(2,7);(2,3);(13,3);(14,13)",01,2,7,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(10,14);01:(6,18);02:(9,16);03:(10,12)",00:1;01:1;02:1;03:0,03,completed
