trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
3,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,276,67,209,246,34,7,3,1,1556,4664,0,281,1275,573,983,1421,983,0.0,6.32520325203252,6.7990430622009566,3.5615942028985508,4.70334928229665,3.9959349593495936,cbaa_entry:983;clue:16;collision_intent:280;state:276;target:1,71,397,0.022357723577235866,completed
39,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,151,68,83,146,9,1,1,1,683,2046,0,153,530,308,375,547,375,0.0,4.678082191780822,6.590361445783133,2.4834437086092715,4.518072289156627,2.5684931506849313,cbaa_entry:375;clue:4;collision_intent:152;state:151;target:1,39,174,0.03082191780821919,completed
75,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,71,43,28,72,3,4,1,1,260,778,0,73,187,148,112,174,112,0.0,3.611111111111111,6.214285714285714,1.5774647887323943,4.0,1.5555555555555556,cbaa_entry:112;clue:4;collision_intent:72;state:71;target:1,18,68,0.02083333333333326,completed
111,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,130,5,125,129,5,4,4,2,844,2527,0,135,709,277,567,832,567,0.0,6.542635658914729,6.656,4.361538461538461,4.536,4.395348837209302,cbaa_entry:567;clue:12;collision_intent:134;state:130;target:1,33,214,0.032945736434108586,completed
147,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,124,63,61,117,11,5,3,2,523,1568,0,128,395,256,267,397,267,0.0,4.47008547008547,6.508196721311475,2.153225806451613,4.377049180327869,2.282051282051282,cbaa_entry:267;clue:4;collision_intent:127;state:124;target:1,32,134,0.04914529914529919,completed
183,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,201,126,75,195,10,10,0,0,724,2170,0,202,522,407,317,472,317,0.0,3.712820512820513,6.293333333333333,1.5771144278606966,4.226666666666667,1.6256410256410256,cbaa_entry:317;clue:4;collision_intent:201;state:201;target:1,51,189,0.016666666666666607,completed
219,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,209,99,110,187,26,6,2,1,938,2809,0,213,725,434,504,739,504,0.0,5.016042780748663,6.718181818181818,2.411483253588517,4.581818181818182,2.695187165775401,cbaa_entry:504;clue:12;collision_intent:212;state:209;target:1,53,241,0.03609625668449201,completed
255,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,132,120,12,135,1,2,0,0,319,954,0,133,186,273,46,79,46,0.0,2.362962962962963,6.583333333333333,0.3484848484848485,3.8333333333333335,0.34074074074074073,cbaa_entry:46;clue:8;collision_intent:132;state:132;target:1,33,81,0.005555555555555536,completed
291,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,213,81,132,186,31,8,4,4,1035,3102,0,218,817,439,596,873,596,0.0,5.564516129032258,6.613636363636363,2.7981220657276995,4.515151515151516,3.204301075268817,cbaa_entry:596;clue:8;collision_intent:217;state:213;target:1,54,268,0.040322580645161255,completed
327,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,CBAA,ideal,1.0,19,361,4,0.05,18,,,cbaa_topk_5,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,151,49,102,141,14,10,1,1,752,2252,0,154,598,321,431,654,431,0.0,5.333333333333333,6.411764705882353,2.8543046357615895,4.2254901960784315,3.0567375886524824,cbaa_entry:431;clue:16;collision_intent:153;state:151;target:1,38,197,0.0478723404255319,completed
