trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
7,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.75,271,,,dga_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,31,5,26,33,2,3,0,0,169,505,0,33,136,72,97,158,97,0.0,5.121212121212121,6.076923076923077,3.129032258064516,3.730769230769231,2.9393939393939394,clue:8;collision_intent:32;dga_entry:97;state:31;target:1,8,52,0.05303030303030298,completed
43,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.75,271,,,dga_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,16,16,0,20,0,0,0,0,33,95,0,17,16,33,0,0,0,0.0,1.65,0.0,0.0,0.0,0.0,collision_intent:16;state:16;target:1,4,9,0.0,completed
79,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.75,271,,,dga_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,85,85,0,89,0,0,0,0,171,510,0,86,85,171,0,0,0,0.0,1.9213483146067416,0.0,0.0,0.0,0.0,collision_intent:85;state:85;target:1,22,45,0.008426966292134797,completed
115,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.75,271,,,dga_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,133,23,110,128,9,0,1,1,416,1244,0,135,281,276,140,370,140,0.0,3.25,3.3636363636363638,1.0526315789473684,1.2727272727272727,1.09375,clue:8;collision_intent:134;dga_entry:140;state:133;target:1,34,110,0.01953125,completed
151,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.75,271,,,dga_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,51,40,11,55,0,0,0,0,183,546,0,52,131,111,72,103,72,0.0,3.327272727272727,9.363636363636363,1.411764705882353,6.545454545454546,1.309090909090909,clue:8;collision_intent:51;dga_entry:72;state:51;target:1,13,53,0.013636363636363669,completed
187,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.75,271,,,dga_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,89,89,0,93,0,0,0,0,179,532,0,90,89,179,0,0,0,0.0,1.924731182795699,0.0,0.0,0.0,0.0,collision_intent:89;state:89;target:1,23,47,0.008064516129032251,completed
223,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.75,271,,,dga_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,184,136,48,172,16,1,3,3,507,1520,0,189,318,381,126,235,126,0.0,2.947674418604651,4.895833333333333,0.6847826086956522,2.625,0.7325581395348837,clue:8;collision_intent:188;dga_entry:126;state:184;target:1,46,131,0.03779069767441867,completed
259,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.75,271,,,dga_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,162,47,115,156,10,6,1,1,549,1642,0,165,384,339,210,454,210,0.0,3.519230769230769,3.9478260869565216,1.2962962962962963,1.826086956521739,1.3461538461538463,clue:12;collision_intent:164;dga_entry:210;state:162;target:1,41,145,0.03205128205128216,completed
295,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.75,271,,,dga_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,294,54,240,258,40,5,3,3,976,2924,0,298,678,604,372,868,372,0.0,3.7829457364341086,3.6166666666666667,1.2653061224489797,1.55,1.441860465116279,clue:12;collision_intent:297;dga_entry:372;state:294;target:1,75,264,0.050387596899224896,completed
331,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.75,271,,,dga_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,453,17,436,309,148,3,25,16,1665,4991,0,481,1184,942,723,1630,723,0.0,5.388349514563107,3.738532110091743,1.596026490066225,1.658256880733945,2.3398058252427183,clue:8;collision_intent:480;dga_entry:723;state:453;target:1,115,427,0.08656957928802589,completed
367,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DGA,ideal,1.0,19,361,4,0.75,271,,,dga_topk_75,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,78,33,45,79,3,2,0,0,291,869,0,80,211,162,129,225,129,0.0,3.6835443037974684,5.0,1.6538461538461537,2.8666666666666667,1.6329113924050633,clue:4;collision_intent:79;dga_entry:129;state:78;target:1,20,81,0.034810126582278444,completed
