trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,trial_mode,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,max_candidate_cells,condition_id,scenario_file,host_trial_runtime_ms,robot_id,allocator_calls,allocator_calls_pre_clue,allocator_calls_post_clue,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_time_pct,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_max,allocator_time_ms_pre_clue_total,allocator_time_ms_post_clue_total,allocator_host_runtime_pct,trial_status
11,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.1,36,36,dmchba_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,1247.179085,00,68,20,48,276.32924500000007,4.06366536764706,0.056877,19.518355,29.258654,22.15634052266039,47,82.414957,1.7535097234042554,2.674728,0.37681900000000007,275.95242600000006,22.15634052266039,completed
11,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.1,36,36,dmchba_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,1247.179085,01,58,21,37,221.61941,3.8210243103448276,0.0534375,20.718269,22.22761,17.769654147142788,38,65.36945200000001,1.7202487368421056,2.373942,0.44606199999999996,221.173348,17.769654147142788,completed
11,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.1,36,36,dmchba_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,1247.179085,02,62,21,41,237.50340000000003,3.8307000000000007,0.058237,18.240621,22.855037,19.043247506030784,41,73.51456,1.7930380487804878,2.555245,0.48494,237.01846000000003,19.043247506030784,completed
11,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.1,36,36,dmchba_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,1247.179085,03,50,19,31,204.52161,4.0904322,0.0590535,18.647739,36.335616,16.398736353087575,32,58.89572799999999,1.8404914999999997,2.4021,0.41178800000000004,204.109822,16.398736353087575,completed
47,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.1,36,36,dmchba_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,1493.784305,00,47,8,39,222.78763100000003,4.7401623617021285,0.058526,18.031803,21.73535,14.914310603899407,41,73.543968,1.7937553170731708,2.737094,0.160889,222.626742,14.914310603899407,completed
47,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.1,36,36,dmchba_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,1493.784305,01,61,7,54,343.474946,5.630736819672131,0.062205,19.596405,20.483022,22.99361058021024,59,106.39331400000002,1.8032765084745765,2.72263,0.159129,343.315817,22.99361058021024,completed
47,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.1,36,36,dmchba_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,1493.784305,02,52,8,44,297.31109499999997,5.7175210576923075,0.06409300000000001,20.298294,23.809849,19.90321454073652,49,92.07577699999999,1.879097489795918,2.736134,0.18965500000000002,297.12144,19.90321454073652,completed
47,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.1,36,36,dmchba_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,1493.784305,03,48,6,42,265.87829,5.539131041666667,0.0606855,19.635284,22.936449,17.79897466522116,44,85.69996400000001,1.9477264545454547,2.718471,0.148665,265.729625,17.79897466522116,completed
83,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.1,36,36,dmchba_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,357.95327,00,27,19,8,76.104318,2.8186784444444446,0.019583,18.696681,20.691467,21.260964594624323,11,25.093357,2.2812142727272726,2.533935,0.389039,75.71527900000001,21.260964594624323,completed
83,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,DMCHBA,ideal,1.0,clue_search,19,361,4,0.1,36,36,dmchba_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,357.95327,01,30,19,11,75.908327,2.530277566666667,0.022782999999999998,19.060339,20.355071,21.20621135825914,11,25.190504,2.2900458181818184,2.440884,0.413454,75.494873,21.20621135825914,completed
