trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,top_k_rate,top_k_max_cells,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
25,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.1,36,,,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,13,7,"(12,15);(14,5);(10,3);(16,10)",,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(14,0);01:(13,7);02:(14,12);03:(10,15)",00:0;01:0;02:0;03:0,01,completed
61,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.1,36,,,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,9,9,"(8,6);(11,11);(10,9);(11,3)",,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(10,2);01:(9,9);02:(10,14);03:(8,17)",00:0;01:0;02:0;03:0,01,completed
97,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.1,36,,,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,18,1,"(17,2);(15,6);(6,5);(17,10)",,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,1);01:(17,7);02:(18,12);03:(15,15)",00:0;01:0;02:0;03:0,00,completed
133,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.1,36,,,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,16,8,"(10,10);(14,16);(10,0);(15,6)",00,10,0,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(16,9);01:(15,5);02:(16,8);03:(8,13)",00:1;01:0;02:1;03:0,02,completed
169,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.1,36,,,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,8,17,"(0,18);(10,7);(8,16);(0,2)",03,0,18,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(5,4);01:(8,17);02:(0,0);03:(5,7)",00:1;01:0;02:0;03:1,01,completed
205,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.1,36,,,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,0,16,"(1,11);(16,6);(0,12);(8,15)",02,0,12,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,1);01:(0,7);02:(2,12);03:(0,16)",00:0;01:0;02:1;03:0,03,completed
241,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.1,36,,,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,7,16,"(7,15);(8,1);(0,7);(9,16)",01,0,7,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(7,9);01:(9,0);02:(8,14);03:(7,16)",00:0;01:1;02:0;03:1,03,completed
277,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.1,36,,,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,18,9,"(11,12);(16,9);(16,12);(14,8)",02,11,12,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(17,6);01:(16,2);02:(15,8);03:(18,9)",00:1;01:0;02:1;03:2,03,completed
313,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.1,36,,,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,10,5,"(16,7);(1,9);(17,4);(16,5)",01,16,7,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(10,5);01:(12,2);02:(14,4);03:(9,6)",00:0;01:2;02:1;03:0,00,completed
349,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.1,36,,,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,16,11,"(4,14);(13,9);(11,8);(2,13)",01,11,8,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(13,5);01:(16,11);02:(5,6);03:(8,11)",00:0;01:2;02:0;03:0,01,completed
385,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.1,36,,,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,11,3,"(15,3);(8,10);(8,13);(10,4)",02,8,13,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(5,1);01:(9,5);02:(11,3);03:(15,6)",00:0;01:1;02:2;03:0,02,completed
421,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.1,36,,,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,11,3,"(2,12);(11,5);(18,5);(11,1)",02,2,12,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(11,3);01:(8,3);02:(10,6);03:(9,1)",00:0;01:0;02:1;03:0,00,completed
457,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.1,36,,,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,5,14,"(6,14);(0,10);(0,17);(8,17)",03,0,17,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(3,12);01:(0,4);02:(4,15);03:(5,14)",00:1;01:1;02:1;03:1,03,completed
493,dcta_parity_v1,topk_filter,aa0724188407797eae5187348bee11ee9f51317c4e8a201863b052786aa2f1df,823213c90703fd83224ad7122ee730ba64af3769ea517af252103bddd907f681,PI,ideal,1.0,19,361,4,0.1,36,,,pi_topk_10,/home/agxorin/topk_filter_study/simulator/scenarios/final_trial_500.csv,clue_search,12,1,"(0,17);(0,7);(4,12);(12,5)",01,0,7,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(15,6);01:(14,13);02:(12,1);03:(17,12)",00:1;01:2;02:0;03:2,02,completed
